level0,level1,level2,level3,level4,level5,interior_id
1LT,,,,,,
,AQ9 GT1 Bucket Seats,,,,,
,,HTA Jet Black,,,,1LT_AQ9_HTA
,,HUP Sky Cool Gray,,,,1LT_AQ9_HUP
,,HUQ Adrenaline Red,,,,1LT_AQ9_HUQ
,AE4 Competition Seats,,,,,
,,HTJ Jet Black,,,,1LT_AE4_HTJ_N26
2LT,,,,,,
,AQ9 GT1 Bucket Seats,,,,,
,,Jet Black - This option should have an indicator showing that it has additional options available within it.,,,,
,,,Jet Black,,,2LT_AQ9_H1Y
,,,Jet Black with Yellow Stitching,,,2LT_AQ9_H1Y_36S
,,,Jet Black with Blue Stitching,,,2LT_AQ9_H1Y_37S
,,,Jet Black with Red Stitching,,,2LT_AQ9_H1Y_38S
,,"Sky Cool Gray - No expandable options, so standard option card with just the one choice.",,,,2LT_AQ9_HUN
,,Adrenaline Red - No expandable options,,,,2LT_AQ9_HUR
,,Natural - No expandable options,,,,2LT_AQ9_HUV
,AE4 Competition Seats,,,,,
,,Jet Black - This option should have an indicator that it has additional options available within it.,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Jet Black,,2LT_AE4_HTM
,,,,Jet Black with Yellow Stitching,,2LT_AE4_HTM_36S
,,,,Jet Black with Blue Stitching,,2LT_AE4_HTM_37S
,,,,Jet Black with Red Stitching,,2LT_AE4_HTM_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Jet Black Suede,,2LT_AE4_HTP_N26
,,,,Jet Black Suede with Yellow Stitching,,2LT_AE4_HTP_N26_36S
,,,,Jet Black Suede with Blue Stitching,,2LT_AE4_HTP_N26_37S
,,,,Jet Black Suede with Red Stitching,,2LT_AE4_HTP_N26_38S
,,Sky Cool Gray,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Sky Cool Gray,,2LT_AE4_HUK
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Sky Cool Gray Suede,,2LT_AE4_HU6_N26
,,Adrenaline Red,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Adrenaline Red,,2LT_AE4_HUL
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Adrenaline Red Suede,,2LT_AE4_HU7_N26
,,Natural,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Natural,,2LT_AE4_HTN
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Suede,,2LT_AE4_HTQ_N26
,AH2 GT2 Bucket Seats,,,,,
,,Jet Black - This option (and the others in this section) should have an indicator showing that it has additional options available within it.,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Jet Black,,2LT_AH2_HTM
,,,,Jet Black with Yellow Stitching,,2LT_AH2_HTM_36S
,,,,Jet Black with Blue Stitching,,2LT_AH2_HTM_37S
,,,,Jet Black with Red Stitching,,2LT_AH2_HTM_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Jet Black Suede,,2LT_AH2_HTP_N26
,,,,Jet Black Suede with Yellow Stitching,,2LT_AH2_HTP_N26_36S
,,,,Jet Black Suede with Blue Stitching,,2LT_AH2_HTP_N26_37S
,,,,Jet Black Suede with Red Stitching,,2LT_AH2_HTP_N26_38S
,,Sky Cool Gray,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Sky Cool Gray,,2LT_AH2_HUK
,,,,Sky Cool Gray Two Tone,,2LT_AH2_HUK_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Sky Cool Gray Suede,,2LT_AH2_HU6_N26
,,,,Sky Cool Gray Suede Two Tone,,2LT_AH2_HU6_N26_TU7
,,Adrenaline Red,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Adrenaline Red,,2LT_AH2_HUL
,,,,Adrenaline Red Two Tone,,2LT_AH2_HUL_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Adrenaline Red Suede Two Tone,,2LT_AH2_HU7_N26_TU7
,,Natural,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Natural,,2LT_AH2_HTN
,,,,Natural Two Tone,,2LT_AH2_HTN_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Suede,,2LT_AH2_HTQ_N26
,,,,Natural Suede Two Tone,,2LT_AH2_HTQ_N26_TU7
3LT,,,,,,
,AH2 GT2 Bucket Seats,,,,,
,,Jet Black,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Jet Black,,3LT_AH2_HTE
,,,,Jet Black with Yellow Stitching,,3LT_AH2_HTE_36S
,,,,Jet Black with Blue Stitching,,3LT_AH2_HTE_37S
,,,,Jet Black with Red Stitching,,3LT_AH2_HTE_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Jet Black Suede,,3LT_AH2_HTT_N26
,,,,Jet Black Suede with Yellow Stitching,,3LT_AH2_HTT_N26_36S
,,,,Jet Black Suede with Blue Stitching,,3LT_AH2_HTT_N26_37S
,,,,Jet Black Suede with Red Stitching,,3LT_AH2_HTT_N26_38S
,,Sky Cool Gray,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Sky Cool Gray,,3LT_AH2_HU1
,,,,Sky Cool Gray Two Tone,,3LT_AH2_HU1_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Sky Cool Gray Suede,,3LT_AH2_HU9_N26
,,,,Sky Cool Gray Suede Two Tone,,3LT_AH2_HU9_N26_TU7
,,Adrenaline Red,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Adrenaline Red,,3LT_AH2_HU2
,,,,Adrenaline Red Two Tone,,3LT_AH2_HU2_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
