option_id,target_id,rule_type,original_detail_raw,review_flag
opt_fe4_001,B4Z,includes,includes (B4Z) Performance Traction Management 1. Requires (Z51) Z51 Performance Package.,FALSE
opt_fe4_001,Z51,requires,includes (B4Z) Performance Traction Management 1. Requires (Z51) Z51 Performance Package.,FALSE
opt_bv4_001,R8C,excludes,1. Available on SOLD orders only. Not available with (R8C) Corvette Museum Delivery.,FALSE
opt_r9l_001,R9M,excludes,"1. Included and only available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. Will delete OnStar Services and OnStar standard equipment (OnStar Basics / Connected Access / EV Access / R9M Services i.e. OnStar One and OnStar One Super Cruise as equipped) for vehicles shipping to these territories.",TRUE
opt_b6p_001,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bc4_002,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bc4_001,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bcp_001,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bcp_002,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bcs_001,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_bcs_002,D3V,includes,1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,FALSE
opt_b6p_001,SL9,includes,1. Included with (B6P/ZZ3) Engine Appearance Package.,FALSE
opt_zz3_001,SL9,includes,1. Included with (B6P/ZZ3) Engine Appearance Package.,FALSE
opt_pcu_001,VQK,includes,"1. Included with (PCU) Stingray Protection Package, LPO.",FALSE
opt_pcu_001,VWE,includes,"1. Included with (PCU) Stingray Protection Package, LPO.",FALSE
opt_pcx_001,SNG,includes,"1. Included with (PCX) Tech Bronze Accent Package, LPO.",FALSE
opt_pdv_001,VWD,includes,"1. Included with (PDV) Stingray R Appearance Package, LPO.",FALSE
opt_pdy_001,RYT,includes,1. Included with (PDY) Roadside Safety Package.,FALSE
opt_pdy_001,S08,includes,1. Included with (PDY) Roadside Safety Package.,FALSE
opt_pef_001,RIA,includes,"1. Included with (PEF) Contoured Liner Protection Package, LPO.",FALSE
opt_pef_001,CAV,includes,"1. Included with (PEF) Contoured Liner Protection Package, LPO.",FALSE
opt_sbt_001,SC7,includes,"1. Included with (SBT) dual roof, LPO.",FALSE
opt_bc4_002,B6P,requires,"1. Includes (D3V) engine lighting. Requires (B6P) on Coupe
2. Requires (ZZ3) Convertible Engine Appearance Package.",FALSE
opt_bc4_002,ZZ3,requires,"1. Includes (D3V) engine lighting. Requires (B6P) on Coupe
2. Requires (ZZ3) Convertible Engine Appearance Package.",FALSE
opt_bcp_001,B6P,excludes,1. Includes (D3V) engine lighting. This option is without (B6P),FALSE
opt_bcs_001,B6P,excludes,1. Includes (D3V) engine lighting. This option is without (B6P),FALSE
opt_bc4_001,B6P,excludes,1. Includes (D3V) engine lighting. This option is without (B6P),FALSE
opt_r8c_001,CFX,includes,"1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels. acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN",FALSE
opt_cf8_001,DPB,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DPC,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DPG,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DPL,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DPT,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DSY,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DSZ,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DT0,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
opt_cf8_001,DTB,excludes,"1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",FALSE
