relationship_key,legacy_surface,legacy_index,legacy_id,relationship_type,source_id,target_id,group_id,source_label,target_label,legacy_detail,coverage_status,coverage_confidence,covering_file,covering_row_id,coverage_note
legacy_rel_0001,rules,0,rule_3lt_ae4_h8t_includes_opt_3a9_001,includes,3LT_AE4_H8T,opt_3a9_001,,3LT > AE4 Competition Seats > Santorini Blue > Santorini Blue,Santorini Blue Seat belt color,Included with 3LT_AE4_H8T Santorini Blue.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0002,rules,1,rule_3lt_ae4_hag_includes_opt_3a9_001,includes,3LT_AE4_HAG,opt_3a9_001,,3LT > AE4 Competition Seats > Asymmetrical Santorini Blue / Jet Black > Asymmetrical Santorini Blue / Jet Black,Santorini Blue Seat belt color,Included with 3LT_AE4_HAG Asymmetrical Santorini Blue / Jet Black.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0003,rules,2,rule_3lt_ae4_hnk_includes_opt_3f9_001,includes,3LT_AE4_HNK,opt_3f9_001,,3LT > AE4 Competition Seats > Adrenaline Red Dipped > Adrenaline Red Dipped,Torch Red Seat belt color,Included with 3LT_AE4_HNK Adrenaline Red Dipped.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0004,rules,3,rule_3lt_ae4_huf_n26_includes_opt_3n9_001,includes,3LT_AE4_HUF_N26,opt_3n9_001,,3LT > AE4 Competition Seats > Natural Dipped > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Natural Dipped Suede,Natural Seat belt color,Included with 3LT_AE4_HUF_N26 Natural Dipped Suede.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0005,rules,4,rule_3lt_ae4_huw_includes_opt_379_001,includes,3LT_AE4_HUW,opt_379_001,,3LT > AE4 Competition Seats > Habanero > Napa leather seating surfaces with perforated inserts. > Habanero,Orange Seat belt color,Included with 3LT_AE4_HUW Habanero.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0006,rules,5,rule_3lt_ae4_hux_n26_includes_opt_379_001,includes,3LT_AE4_HUX_N26,opt_379_001,,3LT > AE4 Competition Seats > Habanero > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Habanero Suede,Orange Seat belt color,Included with 3LT_AE4_HUX_N26 Habanero Suede.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0007,rules,6,rule_3lt_ae4_hzn_includes_opt_3n9_001,includes,3LT_AE4_HZN,opt_3n9_001,,3LT > AE4 Competition Seats > Natural Dipped > Napa leather seating surfaces with perforated inserts. > Natural Dipped,Natural Seat belt color,Included with 3LT_AE4_HZN Natural Dipped.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0008,rules,7,rule_3lt_ah2_h8t_includes_opt_3a9_001,includes,3LT_AH2_H8T,opt_3a9_001,,3LT > AH2 GT2 Bucket Seats > Santorini Blue > Santorini Blue,Santorini Blue Seat belt color,Included with 3LT_AH2_H8T Santorini Blue.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0009,rules,8,rule_3lt_ah2_hag_includes_opt_3a9_001,includes,3LT_AH2_HAG,opt_3a9_001,,3LT > AH2 GT2 Bucket Seats > Asymmetrical Santorini Blue / Jet Black > Asymmetrical Santorini Blue / Jet Black,Santorini Blue Seat belt color,Included with 3LT_AH2_HAG Asymmetrical Santorini Blue / Jet Black.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
legacy_rel_0010,rules,9,rule_3lt_ah2_hnk_includes_opt_3f9_001,includes,3LT_AH2_HNK,opt_3f9_001,,3LT > AH2 GT2 Bucket Seats > Adrenaline Red Dipped > Adrenaline Red Dipped,Torch Red Seat belt color,Included with 3LT_AH2_HNK Adrenaline Red Dipped.,needs_schema_mapping,schema_gap,,,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.
