relationship_key,legacy_id,source_id,source_label,target_id,target_label,source_section,target_section,source_rpo,target_rpo,inverse_pair_key,has_inverse_pair,same_section,section_pattern,bucket,confidence,evidence_detail,proposed_schema_action,notes
legacy_rel_0016,rule_opt_5dg_001_excludes_opt_r8c_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_r8c_001,Corvette Museum Delivery,LPO Wheels,Custom Delivery,5DG,R8C,opt_5dg_001<->opt_r8c_001,false,false,LPO Wheels -> Custom Delivery,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Custom Delivery; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0017,rule_opt_5dg_001_excludes_opt_s47_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",LPO Wheels,Wheel Accessory,5DG,S47,opt_5dg_001<->opt_s47_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0018,rule_opt_5dg_001_excludes_opt_sfe_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",LPO Wheels,Wheel Accessory,5DG,SFE,opt_5dg_001<->opt_sfe_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0019,rule_opt_5dg_001_excludes_opt_spy_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spy_001,"LPO, Black lug nuts",LPO Wheels,Wheel Accessory,5DG,SPY,opt_5dg_001<->opt_spy_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0020,rule_opt_5dg_001_excludes_opt_spz_001,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spz_001,"LPO, Black wheel locks",LPO Wheels,Wheel Accessory,5DG,SPZ,opt_5dg_001<->opt_spz_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0021,rule_opt_5do_001_excludes_opt_r8c_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_r8c_001,Corvette Museum Delivery,LPO Wheels,Custom Delivery,5DO,R8C,opt_5do_001<->opt_r8c_001,false,false,LPO Wheels -> Custom Delivery,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Custom Delivery; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0022,rule_opt_5do_001_excludes_opt_s47_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",LPO Wheels,Wheel Accessory,5DO,S47,opt_5do_001<->opt_s47_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0023,rule_opt_5do_001_excludes_opt_sfe_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",LPO Wheels,Wheel Accessory,5DO,SFE,opt_5do_001<->opt_sfe_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0024,rule_opt_5do_001_excludes_opt_spy_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spy_001,"LPO, Black lug nuts",LPO Wheels,Wheel Accessory,5DO,SPY,opt_5do_001<->opt_spy_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
legacy_rel_0025,rule_opt_5do_001_excludes_opt_spz_001,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spz_001,"LPO, Black wheel locks",LPO Wheels,Wheel Accessory,5DO,SPZ,opt_5do_001<->opt_spz_001,false,false,LPO Wheels -> Wheel Accessory,true_pairwise_conflict,medium,No better model was detected from current metadata. Sections LPO Wheels -> Wheel Accessory; selection modes single_select_opt -> multi_select_opt.,add_pairwise_excludes_table,No better model was detected from current metadata; may require a direct exclusion rule. This is not an approved migration.
