relationship_key,source_id,source_label,target_id,target_label,normalized_pair_key,original_bucket,proposed_schema_target,legacy_rule_id,compiler_support_required,confidence,notes
legacy_rel_0035,opt_5vm_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,opt_5vm_001<->opt_tvs_001,unclear_needs_research,research_deferred,rule_opt_5vm_001_excludes_opt_tvs_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0043,opt_5w8_001,,opt_tvs_001,Low-profile rear spoiler and front splitter,opt_5w8_001<->opt_tvs_001,unclear_needs_research,research_deferred,rule_opt_5w8_001_excludes_opt_tvs_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0049,opt_5zw_001,,opt_t0a_001,Z51 Spoiler,opt_5zw_001<->opt_t0a_001,unclear_needs_research,research_deferred,rule_opt_5zw_001_excludes_opt_t0a_001,manual_research,low,Deferred for manual research; current metadata was insufficient.
legacy_rel_0060,opt_cf8_001,,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,opt_cf8_001<->opt_dpb_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dpb_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0061,opt_cf8_001,,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,opt_cf8_001<->opt_dpc_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dpc_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0062,opt_cf8_001,,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,opt_cf8_001<->opt_dpg_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dpg_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0063,opt_cf8_001,,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,opt_cf8_001<->opt_dpl_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dpl_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0064,opt_cf8_001,,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,opt_cf8_001<->opt_dpt_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dpt_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0065,opt_cf8_001,,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,opt_cf8_001<->opt_dsy_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dsy_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
legacy_rel_0066,opt_cf8_001,,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,opt_cf8_001<->opt_dsz_001,availability_or_variant_behavior,availability_model_deferred,rule_opt_cf8_001_excludes_opt_dsz_001,availability_model_future,medium,Deferred to availability/variant modeling; not forced into pairwise conflict schema.
