relationship_key,source_id,source_label,source_exists_in_csv,target_id,target_label,target_exists_in_csv,missing_selectable_ids,source_rpo,target_rpo,source_category,source_section,target_category,target_section,notes
legacy_rel_0016,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",false,opt_r8c_001,Corvette Museum Delivery,false,opt_5dg_001|opt_r8c_001,5DG,R8C,Mechanical,LPO Wheels,Mechanical,Custom Delivery,Both endpoints missing from active CSV selectables.
legacy_rel_0017,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",false,opt_s47_001,"LPO, Chrome lug nuts",false,opt_5dg_001|opt_s47_001,5DG,S47,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0018,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",false,opt_sfe_001,"LPO, Chrome wheel locks",false,opt_5dg_001|opt_sfe_001,5DG,SFE,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0019,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",false,opt_spy_001,"LPO, Black lug nuts",false,opt_5dg_001|opt_spy_001,5DG,SPY,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0020,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",false,opt_spz_001,"LPO, Black wheel locks",false,opt_5dg_001|opt_spz_001,5DG,SPZ,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0021,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",false,opt_r8c_001,Corvette Museum Delivery,false,opt_5do_001|opt_r8c_001,5DO,R8C,Mechanical,LPO Wheels,Mechanical,Custom Delivery,Both endpoints missing from active CSV selectables.
legacy_rel_0022,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",false,opt_s47_001,"LPO, Chrome lug nuts",false,opt_5do_001|opt_s47_001,5DO,S47,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0023,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",false,opt_sfe_001,"LPO, Chrome wheel locks",false,opt_5do_001|opt_sfe_001,5DO,SFE,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0024,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",false,opt_spy_001,"LPO, Black lug nuts",false,opt_5do_001|opt_spy_001,5DO,SPY,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0025,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",false,opt_spz_001,"LPO, Black wheel locks",false,opt_5do_001|opt_spz_001,5DO,SPZ,Mechanical,LPO Wheels,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0031,opt_5v7_001,"LPO, Black Ground Effects",true,opt_z51_001,Z51 Performance Package,false,opt_z51_001,5V7,Z51,Mechanical,LPO Exterior,Mechanical,Performance,Target endpoint missing from active CSV selectables.
legacy_rel_0059,opt_bv4_001,Personalized Plaque,false,opt_r8c_001,Corvette Museum Delivery,false,opt_bv4_001|opt_r8c_001,BV4,R8C,Interior,Interior Trim,Mechanical,Custom Delivery,Both endpoints missing from active CSV selectables.
legacy_rel_0103,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dpb_001,Carbon Flash with Blue accent Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dpb_001,PCX,DPB,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0104,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dpc_001,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dpc_001,PCX,DPC,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0105,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dpg_001,Carbon Flash with Orange accent Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dpg_001,PCX,DPG,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0106,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dpl_001,Carbon Flash with Red accent Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dpl_001,PCX,DPL,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0107,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dpt_001,Carbon Flash with Silver accent Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dpt_001,PCX,DPT,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0108,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dsy_001,Edge Orange Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dsy_001,PCX,DSY,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0109,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dsz_001,Edge Red Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dsz_001,PCX,DSZ,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0110,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dt0_001,Competition Yellow Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dt0_001,PCX,DT0,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0111,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dth_001,Carbon Flash Metallic Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dth_001,PCX,DTH,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0112,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dub_001,Sterling Silver Full Length Dual Racing Stripes,false,opt_pcx_001|opt_dub_001,PCX,DUB,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0113,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_due_001,NEW! Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,false,opt_pcx_001|opt_due_001,PCX,DUE,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0114,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_duk_001,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,false,opt_pcx_001|opt_duk_001,PCX,DUK,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0115,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_duw_001,Edge Blue Full Length Dual Racing Stripes,false,opt_pcx_001|opt_duw_001,PCX,DUW,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0116,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dzu_001,Carbon Flash/Competition Yellow Stinger Stripe,false,opt_pcx_001|opt_dzu_001,PCX,DZU,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0117,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dzv_001,Carbon Flash/Midnight Silver Stinger Stripe,false,opt_pcx_001|opt_dzv_001,PCX,DZV,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0118,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_dzx_001,Carbon Flash/Edge Red Stinger Stripe,false,opt_pcx_001|opt_dzx_001,PCX,DZX,Mechanical,LPO Exterior,Exterior,Stripes,Both endpoints missing from active CSV selectables.
legacy_rel_0119,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_eyk_001,Chrome Exterior Badge Package,true,opt_pcx_001,PCX,EYK,Mechanical,LPO Exterior,Exterior,Badges,Source endpoint missing from active CSV selectables.
legacy_rel_0120,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_pdv_001,"LPO, Stingray R Appearance Package",false,opt_pcx_001|opt_pdv_001,PCX,PDV,Mechanical,LPO Exterior,Mechanical,LPO Exterior,Both endpoints missing from active CSV selectables.
legacy_rel_0121,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_r8c_001,Corvette Museum Delivery,false,opt_pcx_001|opt_r8c_001,PCX,R8C,Mechanical,LPO Exterior,Mechanical,Custom Delivery,Both endpoints missing from active CSV selectables.
legacy_rel_0122,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_s47_001,"LPO, Chrome lug nuts",false,opt_pcx_001|opt_s47_001,PCX,S47,Mechanical,LPO Exterior,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
legacy_rel_0123,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_sb7_001,"LPO, Corvette Racing Themed Graphics Package with Jake and Stingray R logos",true,opt_pcx_001,PCX,SB7,Mechanical,LPO Exterior,Exterior,Stripes,Source endpoint missing from active CSV selectables.
legacy_rel_0124,opt_pcx_001,"LPO, Tech Bronze Accent Package",false,opt_sfe_001,"LPO, Chrome wheel locks",false,opt_pcx_001|opt_sfe_001,PCX,SFE,Mechanical,LPO Exterior,Mechanical,Wheel Accessory,Both endpoints missing from active CSV selectables.
