direction_key,manifest_row_id,group_key,ref_id,pair_key,source_id,source_label,source_category,source_section,source_ownership_status,source_projection_status,target_id,target_label,target_category,target_section,target_ownership_status,target_projection_status,candidate_status
production_owned/not_projected->production_owned/not_projected,csv_row_164,opt_efy_001->opt_gba_001,,opt_efy_001->opt_gba_001,opt_efy_001,Body-color accents,Exterior,Exterior Accents,production_owned,not_projected,opt_gba_001,Black,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_165,opt_fe2_001->opt_z51_001,,opt_fe2_001->opt_z51_001,opt_fe2_001,Suspension,Mechanical,Suspension,production_owned,not_projected,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_166,opt_fe4_001->opt_z51_001,,opt_fe4_001->opt_z51_001,opt_fe4_001,Suspension,Mechanical,Suspension,production_owned,not_projected,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_169,opt_z51_001->opt_fe3_001,,opt_z51_001->opt_fe3_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_fe3_001,Z51 performance suspension,Mechanical,Suspension,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_170,opt_z51_001->opt_g0k_001,,opt_z51_001->opt_g0k_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_g0k_001,Rear axle,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_171,opt_z51_001->opt_g96_001,,opt_z51_001->opt_g96_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_g96_001,Differential,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_172,opt_z51_001->opt_j55_001,,opt_z51_001->opt_j55_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_j55_001,Brakes,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_173,opt_z51_001->opt_m1n_001,,opt_z51_001->opt_m1n_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_m1n_001,NEW! Transmission,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_174,opt_z51_001->opt_qtu_001,,opt_z51_001->opt_qtu_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_qtu_001,NEW! Tires,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_176,opt_z51_001->opt_v08_001,,opt_z51_001->opt_v08_001,opt_z51_001,Z51 Performance Package,Mechanical,Performance,production_owned,not_projected,opt_v08_001,Cooling system,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_178,opt_zyc_001->opt_drg_001,,opt_zyc_001->opt_drg_001,opt_zyc_001,Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped),Mechanical,Spoiler,production_owned,not_projected,opt_drg_001,Carbon Flash painted mirrors,Standard Equipment,Included,production_owned,not_projected,manifest_only_preservation
production_owned/not_projected->production_owned/not_projected,csv_row_177,opt_zyc_001->opt_gba_001,,opt_zyc_001->opt_gba_001,opt_zyc_001,Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped),Mechanical,Spoiler,production_owned,not_projected,opt_gba_001,Black,Exterior,Paint,production_owned,not_projected,manifest_only_preservation
