category,section,rpo,labels,option_ids,active_choice_row_count,ownership_status,projection_status,status_note
Equipment Groups,1LT Equipment,DWK,Mirrors,opt_dwk_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,1LT Equipment,K7A,Wireless Phone Charging,opt_k7a_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,1LT Equipment,UQS,Audio system feature,opt_uqs_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,1LT Equipment,UVB,HD Rear Vision Camera,opt_uvb_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AHE,"Seat adjuster, driver power bolster",opt_ahe_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AHH,"Seat adjuster, passenger power bolster",opt_ahh_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AL9,"Seat adjuster, power driver lumbar control",opt_al9_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AP9,"Cargo nets, 2",opt_ap9_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AQA,Memory Driver and Passenger Convenience Package,opt_aqa_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,AT9,"Seat adjuster, power passenger lumbar control",opt_at9_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,DYX,Mirrors,opt_dyx_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,K7B,Wireless Phone Charging,opt_k7b_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
Equipment Groups,2LT Equipment,KI3,Heated steering wheel,opt_ki3_001,6,production_owned,not_projected,"Not moved into CSV ownership yet; may be intentionally deferred, out of current scope, or still waiting for review."
