source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_audit_rpo_role_overlaps.csv:C2Z:a07c8bc2,staging_audit_rpo_role_overlaps.csv,Exterior 1|Exterior 2|Exterior 3|Exterior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,C2Z,,C2Z,C2Z,"Roof panel, visible carbon fiber with body-color surround, removable"
staging_audit_rpo_role_overlaps.csv:CFV:8d7b7914,staging_audit_rpo_role_overlaps.csv,Exterior 2|Exterior 3|Exterior 4|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,CFV,,CFV,CFV,"Ground effects, visible carbon fiber | Ground effects, visible carbon fiber
1. Included with (T0G) Visible Carbon Fiber Aero Package. | Ground effects, visible carbon fiber
1. Not available at this time."
staging_audit_rpo_role_overlaps.csv:AH2:29b8e328,staging_audit_rpo_role_overlaps.csv,Interior 1|Interior 2|Interior 3|Interior 4,,,rpo_role_overlap,AH2,,AH2,AH2,"Seats, GT2 bucket"
staging_audit_rpo_role_overlaps.csv:UQT:4d73d40a,staging_audit_rpo_role_overlaps.csv,Interior 1|Interior 2|Interior 3|Interior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,UQT,,UQT,UQT,Performance data and video recorder
staging_audit_rpo_role_overlaps.csv:DY0:9a57579b,staging_audit_rpo_role_overlaps.csv,Interior 3|Interior 4|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,DY0,,DY0,DY0,"Display hood, Carbon Fiber, located above the Driver Information Center display"
staging_audit_rpo_role_overlaps.csv:D3V:66e2b9e8,staging_audit_rpo_role_overlaps.csv,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,D3V,,D3V,D3V,"Engine lighting | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers. | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake."
staging_audit_rpo_role_overlaps.csv:SL9:f6d8ce8a,staging_audit_rpo_role_overlaps.csv,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,SL9,,SL9,SL9,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package."
staging_audit_rpo_role_overlaps.csv:WUB:ebfeffc2,staging_audit_rpo_role_overlaps.csv,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,WUB,,WUB,WUB,"NEW!  Exhaust, quad center exit | NEW!  Exhaust, quad center exit
1. Included with (FEY) Z52 Track Performance Package."
staging_audit_rpo_role_overlaps.csv:ZZ3:167be9a4,staging_audit_rpo_role_overlaps.csv,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 3|Standard Equipment 4,,,rpo_role_overlap,ZZ3,,ZZ3,ZZ3,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO | Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO"
staging_audit_rpo_role_overlaps.csv:B6P:86283361,staging_audit_rpo_role_overlaps.csv,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 4,,,rpo_role_overlap,B6P,,B6P,B6P,"Coupe Engine Appearance Package, includes carbon fiber trim and (SL9) engine specification plaque, LPO | Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO"
