source_ref_id,source_sheet,source_row,guide_family,model_key,model_key_confidence,price_block_label,raw_values,notes,review_status
staging_price_rows.csv:Price Schedule:3:7840298f1d,Price Schedule,3,corvette,,,raw_price_schedule_row,"[""EFFECTIVE WITH START OF 2027 MODEL YEAR PRODUCTION"","""","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:5:0abff7689c,Price Schedule,5,corvette,,,base_model_prices,"[""Base Model Prices"","""","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:6:d4bf7b9b16,Price Schedule,6,corvette,,,raw_price_schedule_row,"["""",""Model"",""Model Description"",""List"",""Factory"",""MSRP(c)"",""Dealer"",""Dealer"",""Employee"",""DFC"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:7:9cc46e0b1c,Price Schedule,7,corvette,,,raw_price_schedule_row,"["""","""","""",""Price"",""D/H(b)"","""",""Invoice"",""Price(c)"",""Price(c)"","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:8:e3a455ff5b,Price Schedule,8,corvette,,,raw_price_schedule_row,"["""","""","""","""","""","""",""Price(a)&(c)"","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:9:47b904aba8,Price Schedule,9,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 1LT"",""71000"",""0"",""71000"",""66314"",""64184"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:10:f5c1b6f3c3,Price Schedule,10,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 1LT"",""78000"",""0"",""78000"",""72852"",""70512"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:11:7eefdcc6ea,Price Schedule,11,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 2LT"",""78100"",""0"",""78100"",""72945.4"",""70602.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:12:7503137ea0,Price Schedule,12,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 3LT"",""82750"",""0"",""82750"",""77288.5"",""74806"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:13:0425a16a5f,Price Schedule,13,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 2LT"",""85100"",""0"",""85100"",""79483.4"",""76930.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:14:768b3d042f,Price Schedule,14,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 1LT"",""86000"",""0"",""86000"",""80324"",""77744"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:15:88e179916d,Price Schedule,15,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 3LT"",""89750"",""0"",""89750"",""83826.5"",""81134"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:16:b96fe1293a,Price Schedule,16,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE67"",""Corvette Grand Sport Convertible 1LT"",""93000"",""0"",""93000"",""86862"",""84072"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:17:8966b26f27,Price Schedule,17,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 2LT"",""93100"",""0"",""93100"",""86955.4"",""84162.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
staging_price_rows.csv:Price Schedule:18:45c413ef50,Price Schedule,18,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 3LT"",""97750"",""0"",""97750"",""91298.5"",""88366"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet.",raw_price_evidence_only
