model_key,variant_id,body_style,trim_level,canonical_status,availability_value,raw_status,count
grand_sport,grand_sport_1lt_e07,coupe,1LT,available,available,A,26
grand_sport,grand_sport_1lt_e07,coupe,1LT,available,available,A/D,21
grand_sport,grand_sport_1lt_e07,coupe,1LT,available,available,A/D1,25
grand_sport,grand_sport_1lt_e07,coupe,1LT,available,available,A1,72
grand_sport,grand_sport_1lt_e07,coupe,1LT,not_available,not_available,--,44
grand_sport,grand_sport_1lt_e07,coupe,1LT,standard,standard,S,126
grand_sport,grand_sport_1lt_e07,coupe,1LT,standard,standard,S1,14
grand_sport,grand_sport_1lt_e67,convertible,1LT,available,available,A,23
grand_sport,grand_sport_1lt_e67,convertible,1LT,available,available,A/D,18
grand_sport,grand_sport_1lt_e67,convertible,1LT,available,available,A/D1,23
grand_sport,grand_sport_1lt_e67,convertible,1LT,available,available,A1,65
grand_sport,grand_sport_1lt_e67,convertible,1LT,available,available,A2,9
grand_sport,grand_sport_1lt_e67,convertible,1LT,not_available,not_available,--,52
grand_sport,grand_sport_1lt_e67,convertible,1LT,standard,standard,S,124
grand_sport,grand_sport_1lt_e67,convertible,1LT,standard,standard,S1,12
grand_sport,grand_sport_1lt_e67,convertible,1LT,standard,standard,S2,2
grand_sport,grand_sport_2lt_e07,coupe,2LT,available,available,A,28
grand_sport,grand_sport_2lt_e07,coupe,2LT,available,available,A/D,20
grand_sport,grand_sport_2lt_e07,coupe,2LT,available,available,A/D1,25
grand_sport,grand_sport_2lt_e07,coupe,2LT,available,available,A1,76
grand_sport,grand_sport_2lt_e07,coupe,2LT,available,available,A2,2
grand_sport,grand_sport_2lt_e07,coupe,2LT,included_equipment_group,needs_review,■,22
grand_sport,grand_sport_2lt_e07,coupe,2LT,not_available,not_available,--,23
grand_sport,grand_sport_2lt_e07,coupe,2LT,standard,standard,S,118
grand_sport,grand_sport_2lt_e07,coupe,2LT,standard,standard,S1,14
grand_sport,grand_sport_2lt_e67,convertible,2LT,available,available,A,25
grand_sport,grand_sport_2lt_e67,convertible,2LT,available,available,A/D,17
grand_sport,grand_sport_2lt_e67,convertible,2LT,available,available,A/D1,23
grand_sport,grand_sport_2lt_e67,convertible,2LT,available,available,A1,68
grand_sport,grand_sport_2lt_e67,convertible,2LT,available,available,A2,11
grand_sport,grand_sport_2lt_e67,convertible,2LT,included_equipment_group,needs_review,■,22
grand_sport,grand_sport_2lt_e67,convertible,2LT,not_available,not_available,--,32
grand_sport,grand_sport_2lt_e67,convertible,2LT,standard,standard,S,116
grand_sport,grand_sport_2lt_e67,convertible,2LT,standard,standard,S1,12
grand_sport,grand_sport_2lt_e67,convertible,2LT,standard,standard,S2,2
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A,27
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A/D,21
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A/D1,26
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A1,72
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A2,7
grand_sport,grand_sport_3lt_e07,coupe,3LT,available,available,A3,2
grand_sport,grand_sport_3lt_e07,coupe,3LT,included_equipment_group,needs_review,■,24
grand_sport,grand_sport_3lt_e07,coupe,3LT,included_equipment_group,needs_review,■1,1
grand_sport,grand_sport_3lt_e07,coupe,3LT,not_available,not_available,--,18
grand_sport,grand_sport_3lt_e07,coupe,3LT,standard,standard,S,114
grand_sport,grand_sport_3lt_e07,coupe,3LT,standard,standard,S1,16
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A,24
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A/D,18
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A/D1,24
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A1,64
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A2,16
grand_sport,grand_sport_3lt_e67,convertible,3LT,available,available,A3,2
grand_sport,grand_sport_3lt_e67,convertible,3LT,included_equipment_group,needs_review,■,24
grand_sport,grand_sport_3lt_e67,convertible,3LT,included_equipment_group,needs_review,■1,1
grand_sport,grand_sport_3lt_e67,convertible,3LT,not_available,not_available,--,27
grand_sport,grand_sport_3lt_e67,convertible,3LT,standard,standard,S,112
grand_sport,grand_sport_3lt_e67,convertible,3LT,standard,standard,S1,14
grand_sport,grand_sport_3lt_e67,convertible,3LT,standard,standard,S2,2
stingray,stingray_1lt_c07,coupe,1LT,available,available,A,30
stingray,stingray_1lt_c07,coupe,1LT,available,available,A/D,22
stingray,stingray_1lt_c07,coupe,1LT,available,available,A/D1,39
stingray,stingray_1lt_c07,coupe,1LT,available,available,A1,58
stingray,stingray_1lt_c07,coupe,1LT,not_available,not_available,--,45
stingray,stingray_1lt_c07,coupe,1LT,standard,standard,S,122
stingray,stingray_1lt_c07,coupe,1LT,standard,standard,S1,12
stingray,stingray_1lt_c67,convertible,1LT,available,available,A,26
stingray,stingray_1lt_c67,convertible,1LT,available,available,A/D,19
stingray,stingray_1lt_c67,convertible,1LT,available,available,A/D1,37
stingray,stingray_1lt_c67,convertible,1LT,available,available,A1,57
stingray,stingray_1lt_c67,convertible,1LT,available,available,A2,4
stingray,stingray_1lt_c67,convertible,1LT,not_available,not_available,--,53
stingray,stingray_1lt_c67,convertible,1LT,standard,standard,S,118
stingray,stingray_1lt_c67,convertible,1LT,standard,standard,S1,14
stingray,stingray_2lt_c07,coupe,2LT,available,available,A,32
stingray,stingray_2lt_c07,coupe,2LT,available,available,A/D,21
stingray,stingray_2lt_c07,coupe,2LT,available,available,A/D1,39
stingray,stingray_2lt_c07,coupe,2LT,available,available,A1,62
stingray,stingray_2lt_c07,coupe,2LT,available,available,A2,2
stingray,stingray_2lt_c07,coupe,2LT,included_equipment_group,needs_review,■,22
stingray,stingray_2lt_c07,coupe,2LT,not_available,not_available,--,24
stingray,stingray_2lt_c07,coupe,2LT,standard,standard,S,114
stingray,stingray_2lt_c07,coupe,2LT,standard,standard,S1,12
