rpo,traceability_status,orderable_count,ref_only_count,has_source_refs,source_ref_ids,source_sheets,model_keys,section_families,notes
AH2,summary_level_only,18,8,true,staging_audit_rpo_role_overlaps.csv:AH2:29b8e328,Interior 1|Interior 2|Interior 3|Interior 4,grand_sport|stingray|z06|zr1|zr1x,interior,Row-level source_ref_id exists for this overlap evidence.
B6P,summary_level_only,18,16,true,staging_audit_rpo_role_overlaps.csv:B6P:86283361,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
C2Z,summary_level_only,36,16,true,staging_audit_rpo_role_overlaps.csv:C2Z:a07c8bc2,Exterior 1|Exterior 2|Exterior 3|Exterior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,exterior|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
CFV,summary_level_only,24,16,true,staging_audit_rpo_role_overlaps.csv:CFV:8d7b7914,Exterior 2|Exterior 3|Exterior 4|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|z06|zr1|zr1x,exterior|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
D3V,summary_level_only,36,16,true,staging_audit_rpo_role_overlaps.csv:D3V:66e2b9e8,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
DY0,summary_level_only,12,16,true,staging_audit_rpo_role_overlaps.csv:DY0:9a57579b,Interior 3|Interior 4|Standard Equipment 3|Standard Equipment 4,z06|zr1|zr1x,interior|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
SL9,summary_level_only,36,16,true,staging_audit_rpo_role_overlaps.csv:SL9:f6d8ce8a,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
UQT,summary_level_only,36,16,true,staging_audit_rpo_role_overlaps.csv:UQT:4d73d40a,Interior 1|Interior 2|Interior 3|Interior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,interior|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
WUB,summary_level_only,24,28,true,staging_audit_rpo_role_overlaps.csv:WUB:ebfeffc2,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
ZZ3,summary_level_only,24,16,true,staging_audit_rpo_role_overlaps.csv:ZZ3:167be9a4,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,Row-level source_ref_id exists for this overlap evidence.
