model_key,section_family,proposal_scope,review_status,count
grand_sport,exterior,primary_matrix_review_evidence,needs_review,22
grand_sport,exterior,primary_matrix_selectable_candidate,proposal_only,79
grand_sport,interior,primary_matrix_review_evidence,needs_review,58
grand_sport,interior,primary_matrix_selectable_candidate,proposal_only,39
grand_sport,mechanical,primary_matrix_review_evidence,needs_review,21
grand_sport,mechanical,primary_matrix_selectable_candidate,proposal_only,27
grand_sport,standard_equipment,primary_matrix_review_evidence,needs_review,51
grand_sport,standard_equipment,primary_matrix_selectable_candidate,proposal_only,6
grand_sport,standard_equipment,standard_equipment_review_only,needs_review,25
stingray,exterior,primary_matrix_review_evidence,needs_review,21
stingray,exterior,primary_matrix_selectable_candidate,proposal_only,81
stingray,interior,primary_matrix_review_evidence,needs_review,58
stingray,interior,primary_matrix_selectable_candidate,proposal_only,39
stingray,mechanical,primary_matrix_review_evidence,needs_review,24
stingray,mechanical,primary_matrix_selectable_candidate,proposal_only,26
stingray,standard_equipment,primary_matrix_review_evidence,needs_review,49
stingray,standard_equipment,primary_matrix_selectable_candidate,proposal_only,5
stingray,standard_equipment,standard_equipment_review_only,needs_review,25
z06,exterior,primary_matrix_review_evidence,needs_review,21
z06,exterior,primary_matrix_selectable_candidate,proposal_only,80
z06,interior,primary_matrix_review_evidence,needs_review,59
z06,interior,primary_matrix_selectable_candidate,proposal_only,42
z06,mechanical,primary_matrix_review_evidence,needs_review,21
z06,mechanical,primary_matrix_selectable_candidate,proposal_only,25
z06,standard_equipment,primary_matrix_review_evidence,needs_review,50
z06,standard_equipment,primary_matrix_selectable_candidate,proposal_only,7
z06,standard_equipment,standard_equipment_review_only,needs_review,25
zr1,exterior,primary_matrix_review_evidence,needs_review,22
zr1,exterior,primary_matrix_selectable_candidate,proposal_only,48
zr1,interior,primary_matrix_review_evidence,needs_review,62
zr1,interior,primary_matrix_selectable_candidate,proposal_only,39
zr1,mechanical,primary_matrix_review_evidence,needs_review,29
zr1,mechanical,primary_matrix_selectable_candidate,proposal_only,18
zr1,standard_equipment,primary_matrix_review_evidence,needs_review,60
zr1,standard_equipment,standard_equipment_review_only,needs_review,25
zr1x,exterior,primary_matrix_review_evidence,needs_review,22
zr1x,exterior,primary_matrix_selectable_candidate,proposal_only,48
zr1x,interior,primary_matrix_review_evidence,needs_review,62
zr1x,interior,primary_matrix_selectable_candidate,proposal_only,39
zr1x,mechanical,primary_matrix_review_evidence,needs_review,29
zr1x,mechanical,primary_matrix_selectable_candidate,proposal_only,18
zr1x,standard_equipment,primary_matrix_review_evidence,needs_review,60
zr1x,standard_equipment,standard_equipment_review_only,needs_review,25
