review_item_id,severity,reason,source_file,source_sheet,source_row,model_key,proposal_selectable_id,rpo,raw_value,recommended_action,notes
review_02e8eefad5fe,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,AH2,"Seats, GT2 bucket",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_8171322e7e17,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,B6P,"Coupe Engine Appearance Package, includes carbon fiber trim and (SL9) engine specification plaque, LPO | Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_fedfc74c6932,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,C2Z,"Roof panel, visible carbon fiber with body-color surround, removable",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_4440d562b51b,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|z06|zr1|zr1x,,CFV,"Ground effects, visible carbon fiber | Ground effects, visible carbon fiber
1. Included with (T0G) Visible Carbon Fiber Aero Package. | Ground effects, visible carbon fiber
1. Not available at this time.",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_b0613b18d7e1,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,D3V,"Engine lighting | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers. | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_47a9fc7e95b9,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,z06|zr1|zr1x,,DY0,"Display hood, Carbon Fiber, located above the Driver Information Center display",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_d473f031ee9f,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,SL9,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_ed47dc714508,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,UQT,Performance data and video recorder,keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_ca8a3e433395,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,WUB,"NEW!  Exhaust, quad center exit | NEW!  Exhaust, quad center exit
1. Included with (FEY) Z52 Track Performance Package.",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_bebe0a6d23c7,info,accepted_rpo_overlap_kept_separate,staging_audit_rpo_role_overlaps.csv,,,grand_sport|stingray|z06|zr1|zr1x,,ZZ3,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO | Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO",keep_overlap_as_separate_evidence; do_not_merge,Accepted overlap is preserved as separate evidence and not merged.
review_82ee9269e2b8,info,excluded_color_trim_source,staging_color_trim_interior_rows.csv,Color and Trim 1,5,,,,,exclude_from_primary_matrix_proposal,Color/Trim is accepted_review_only and excluded from first canonical proposal.
review_da8dde03a741,info,excluded_equipment_group_source,staging_equipment_group_rows.csv,Equipment Groups 1,5,stingray,,UQH,"Audio system feature, Bose Performance Series Sound System with 14 speakers",exclude_from_selectable_proposal,Equipment Groups are cross-check only.
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_465ecc2728dc,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,105,stingray,prop_stingray_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_a5b465d03734,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,13,stingray,prop_stingray_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_efcc284ab7df,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,18,stingray,prop_stingray_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_66cc3414f3ff,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 1,5,stingray,prop_stingray_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_708b66fa47e1,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,104,grand_sport,prop_grand_sport_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_06eca48f0d33,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,15,grand_sport,prop_grand_sport_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_ea1a5389ff56,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,19,grand_sport,prop_grand_sport_exterior_norpo_ec6577f9,,"Glass, Solar-Ray light-tinted",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_f5f939131215,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 2,6,grand_sport,prop_grand_sport_exterior_norpo_83eb51b7,,"Antenna, integral front and rear",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_2b0afca49176,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,104,z06,prop_z06_exterior_norpo_b1524575,,"Wipers, front intermittent",review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
review_e2930ba2998d,review,blank_rpo_non_standard_equipment,staging_variant_matrix_rows.csv,Exterior 3,17,z06,prop_z06_exterior_norpo_9404c2ff,,Daytime running lamps,review_non_standard_row_without_rpo,
