proposal_selectable_id,proposal_status,model_key,section_family,section_name,category_name,display_label,display_description,source_description_raw,source_detail_raw,review_status,source_ref_ids
prop_grand_sport_exterior_dmx,proposal_only,grand_sport,exterior,Exterior,Exterior,Admiral Blue Grand Sport Heritage Center Stripe,Admiral Blue Grand Sport Heritage Center Stripe,"Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:67:161b1fa0d9|staging_variant_matrix_rows.csv:Exterior 2:67:1fed0c8e86|staging_variant_matrix_rows.csv:Exterior 2:67:61b39d5123|staging_variant_matrix_rows.csv:Exterior 2:67:6b608f6bff|staging_variant_matrix_rows.csv:Exterior 2:67:848ee68c5f|staging_variant_matrix_rows.csv:Exterior 2:67:b1335198a9
prop_grand_sport_exterior_20a,proposal_only,grand_sport,exterior,Exterior,Exterior,Admiral Blue Grand Sport Heritage Hash Marks,Admiral Blue Grand Sport Heritage Hash Marks,"Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.","Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:72:121a5bb85a|staging_variant_matrix_rows.csv:Exterior 2:72:1f939aa737|staging_variant_matrix_rows.csv:Exterior 2:72:4e7341b0ed|staging_variant_matrix_rows.csv:Exterior 2:72:66e48f52b3|staging_variant_matrix_rows.csv:Exterior 2:72:c31cf76af0|staging_variant_matrix_rows.csv:Exterior 2:72:e870d233f0
prop_grand_sport_exterior_norpo_83eb51b7,proposal_only,grand_sport,exterior,Exterior,Exterior,"Antenna, integral front and rear","Antenna, integral front and rear","Antenna, integral front and rear","Antenna, integral front and rear",needs_review,staging_variant_matrix_rows.csv:Exterior 2:6:131ca8dea5|staging_variant_matrix_rows.csv:Exterior 2:6:212e75f32b|staging_variant_matrix_rows.csv:Exterior 2:6:3aae259bf2|staging_variant_matrix_rows.csv:Exterior 2:6:91a98bb406|staging_variant_matrix_rows.csv:Exterior 2:6:a562fb9e62|staging_variant_matrix_rows.csv:Exterior 2:6:d383a919b5
prop_grand_sport_exterior_dmw,proposal_only,grand_sport,exterior,Exterior,Exterior,Arctic White Grand Sport Heritage Center Stripe,Arctic White Grand Sport Heritage Center Stripe,"Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:71:15b91f3846|staging_variant_matrix_rows.csv:Exterior 2:71:1e867b5ff7|staging_variant_matrix_rows.csv:Exterior 2:71:c0d9448ee5|staging_variant_matrix_rows.csv:Exterior 2:71:c81b1a32e6|staging_variant_matrix_rows.csv:Exterior 2:71:d9dc34e43f|staging_variant_matrix_rows.csv:Exterior 2:71:ff7f7d305b
prop_grand_sport_exterior_duk,proposal_only,grand_sport,exterior,Exterior,Exterior,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,"Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.","Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:79:02a905296f|staging_variant_matrix_rows.csv:Exterior 2:79:32bfffb1d8|staging_variant_matrix_rows.csv:Exterior 2:79:6d4044596a|staging_variant_matrix_rows.csv:Exterior 2:79:712288528d|staging_variant_matrix_rows.csv:Exterior 2:79:efde0262d3|staging_variant_matrix_rows.csv:Exterior 2:79:f8bd95d5eb
prop_grand_sport_exterior_dmv,proposal_only,grand_sport,exterior,Exterior,Exterior,Blade Silver Grand Sport Heritage Center Stripe,Blade Silver Grand Sport Heritage Center Stripe,"Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:70:0033617129|staging_variant_matrix_rows.csv:Exterior 2:70:0593772aab|staging_variant_matrix_rows.csv:Exterior 2:70:09cb43ca0e|staging_variant_matrix_rows.csv:Exterior 2:70:43ed60f089|staging_variant_matrix_rows.csv:Exterior 2:70:4f7bbe7edb|staging_variant_matrix_rows.csv:Exterior 2:70:8bda6a1775
prop_grand_sport_exterior_17a,proposal_only,grand_sport,exterior,Exterior,Exterior,Blade Silver Grand Sport Heritage Hash Marks,Blade Silver Grand Sport Heritage Hash Marks,"Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.","Blade Silver Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:76:185ae7da09|staging_variant_matrix_rows.csv:Exterior 2:76:32613c32fb|staging_variant_matrix_rows.csv:Exterior 2:76:7a9781d6be|staging_variant_matrix_rows.csv:Exterior 2:76:b1a22e45aa|staging_variant_matrix_rows.csv:Exterior 2:76:bb0b2c1be7|staging_variant_matrix_rows.csv:Exterior 2:76:fc9644af14
prop_grand_sport_exterior_t0f,proposal_only,grand_sport,exterior,Exterior,Exterior,"Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects","Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects","Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects
1. Requires (FEB) Z52 Sport Performance Package and (J57) carbon ceramic brakes or Included with (FEY) Z52 Track Performance Package.","Carbon Fiber Aero Package, Carbon Flash-painted, includes high-wing, dive planes and (CFZ) Carbon Flash-painted carbon fiber ground effects
1. Requires (FEB) Z52 Sport Performance Package and (J57) carbon ceramic brakes or Included with (FEY) Z52 Track Performance Package.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:7:232ce07c54|staging_variant_matrix_rows.csv:Exterior 2:7:53f687077e|staging_variant_matrix_rows.csv:Exterior 2:7:6022fe6b63|staging_variant_matrix_rows.csv:Exterior 2:7:6c244441df|staging_variant_matrix_rows.csv:Exterior 2:7:877969b29c|staging_variant_matrix_rows.csv:Exterior 2:7:e13855329b
prop_grand_sport_exterior_ref_eyt_cbd330,proposal_only,grand_sport,exterior,Exterior,Exterior,Carbon Flash Exterior Badge Package,Carbon Flash Exterior Badge Package,Carbon Flash Exterior Badge Package,Carbon Flash Exterior Badge Package,needs_review,staging_variant_matrix_rows.csv:Exterior 2:8:2f865cbc1c|staging_variant_matrix_rows.csv:Exterior 2:8:35f5a06a3d|staging_variant_matrix_rows.csv:Exterior 2:8:90fc25df50|staging_variant_matrix_rows.csv:Exterior 2:8:b4491cb0ef|staging_variant_matrix_rows.csv:Exterior 2:8:caa09a1751|staging_variant_matrix_rows.csv:Exterior 2:8:f5c70b668e
prop_grand_sport_exterior_dmu,proposal_only,grand_sport,exterior,Exterior,Exterior,Carbon Flash Grand Sport Heritage Center Stripe,Carbon Flash Grand Sport Heritage Center Stripe,"Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.","Carbon Flash Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics.
2. Requires (Z15) Grand Sport Heritage Graphics. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.",proposal_only,staging_variant_matrix_rows.csv:Exterior 2:68:1b71110646|staging_variant_matrix_rows.csv:Exterior 2:68:1c83ea4160|staging_variant_matrix_rows.csv:Exterior 2:68:21f66750cb|staging_variant_matrix_rows.csv:Exterior 2:68:27d7fcb7ec|staging_variant_matrix_rows.csv:Exterior 2:68:3c06cfe5ac|staging_variant_matrix_rows.csv:Exterior 2:68:a9a956349f
