proposal_selectable_id,proposal_scope,proposal_status,source_sheet,model_key,section_family,orderable_rpo,ref_rpo,proposal_label,description,selectable_source,has_orderable_rpo,has_ref_rpo,review_status,source_ref_ids,notes,proposal_filter_status
prop_grand_sport_exterior_17a,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,17A,,Blade Silver Grand Sport Heritage Hash Marks,Blade Silver Grand Sport Heritage Hash Marks,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:76:185ae7da09|staging_variant_matrix_rows.csv:Exterior 2:76:32613c32fb|staging_variant_matrix_rows.csv:Exterior 2:76:7a9781d6be|staging_variant_matrix_rows.csv:Exterior 2:76:b1a22e45aa|staging_variant_matrix_rows.csv:Exterior 2:76:bb0b2c1be7|staging_variant_matrix_rows.csv:Exterior 2:76:fc9644af14,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_20a,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,20A,,Admiral Blue Grand Sport Heritage Hash Marks,Admiral Blue Grand Sport Heritage Hash Marks,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:72:121a5bb85a|staging_variant_matrix_rows.csv:Exterior 2:72:1f939aa737|staging_variant_matrix_rows.csv:Exterior 2:72:4e7341b0ed|staging_variant_matrix_rows.csv:Exterior 2:72:66e48f52b3|staging_variant_matrix_rows.csv:Exterior 2:72:c31cf76af0|staging_variant_matrix_rows.csv:Exterior 2:72:e870d233f0,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_55a,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,55A,,Competition Yellow Grand Sport Heritage Hash Marks,Competition Yellow Grand Sport Heritage Hash Marks,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:77:08664a8faf|staging_variant_matrix_rows.csv:Exterior 2:77:135cc0073d|staging_variant_matrix_rows.csv:Exterior 2:77:6c889d25c8|staging_variant_matrix_rows.csv:Exterior 2:77:7f8dbf9fab|staging_variant_matrix_rows.csv:Exterior 2:77:96bc6efb9a|staging_variant_matrix_rows.csv:Exterior 2:77:a7becf98c8,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_5jr,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,5JR,,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:38:19d50ece9d|staging_variant_matrix_rows.csv:Exterior 2:38:240735fc17|staging_variant_matrix_rows.csv:Exterior 2:38:3ce0d916db|staging_variant_matrix_rows.csv:Exterior 2:38:5fec8cffe9|staging_variant_matrix_rows.csv:Exterior 2:38:8ab700e5ed|staging_variant_matrix_rows.csv:Exterior 2:38:d5808f1980,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_5zb,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,5ZB,,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:50:13dcf05787|staging_variant_matrix_rows.csv:Exterior 2:50:67d6b3ede0|staging_variant_matrix_rows.csv:Exterior 2:50:788f1dae91|staging_variant_matrix_rows.csv:Exterior 2:50:86c5b6d996|staging_variant_matrix_rows.csv:Exterior 2:50:92d5e3c6fd|staging_variant_matrix_rows.csv:Exterior 2:50:fdc238e3b4,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_5zc,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,5ZC,,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:49:0e14b26b6d|staging_variant_matrix_rows.csv:Exterior 2:49:307a64f601|staging_variant_matrix_rows.csv:Exterior 2:49:5ff6160537|staging_variant_matrix_rows.csv:Exterior 2:49:99d804db29|staging_variant_matrix_rows.csv:Exterior 2:49:b23c18cdd7|staging_variant_matrix_rows.csv:Exterior 2:49:b63fd89ccb,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_5zd,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,5ZD,,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:48:0e2ff2214f|staging_variant_matrix_rows.csv:Exterior 2:48:51e598448d|staging_variant_matrix_rows.csv:Exterior 2:48:8dfb379345|staging_variant_matrix_rows.csv:Exterior 2:48:b374e0c53b|staging_variant_matrix_rows.csv:Exterior 2:48:df47fc85ef|staging_variant_matrix_rows.csv:Exterior 2:48:fd37f60208,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_5zv,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,5ZV,,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:44:39701b430c|staging_variant_matrix_rows.csv:Exterior 2:44:3ec1b8fc91|staging_variant_matrix_rows.csv:Exterior 2:44:7970889bcb|staging_variant_matrix_rows.csv:Exterior 2:44:9128d9dd20|staging_variant_matrix_rows.csv:Exterior 2:44:9e4e1ecc6b|staging_variant_matrix_rows.csv:Exterior 2:44:ab5a45622b,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_75a,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,75A,,Torch Red Grand Sport Heritage Hash Marks,Torch Red Grand Sport Heritage Hash Marks,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:75:21dcdb10e4|staging_variant_matrix_rows.csv:Exterior 2:75:43e3681ac8|staging_variant_matrix_rows.csv:Exterior 2:75:5d8ca100ba|staging_variant_matrix_rows.csv:Exterior 2:75:b252032a3c|staging_variant_matrix_rows.csv:Exterior 2:75:c404269b1d|staging_variant_matrix_rows.csv:Exterior 2:75:d8d8341ee7,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_grand_sport_exterior_97a,primary_matrix_selectable_candidate,proposal_only,Exterior 2,grand_sport,exterior,97A,,Carbon Flash Grand Sport Heritage Hash Marks,Carbon Flash Grand Sport Heritage Hash Marks,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 2:73:5d58b575b3|staging_variant_matrix_rows.csv:Exterior 2:73:6608796d66|staging_variant_matrix_rows.csv:Exterior 2:73:74dcbf93b0|staging_variant_matrix_rows.csv:Exterior 2:73:cd970def96|staging_variant_matrix_rows.csv:Exterior 2:73:d864d356f7|staging_variant_matrix_rows.csv:Exterior 2:73:de5c0e9031,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
