source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Exterior 1:4:13509e19ff,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_3lt_c07,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:4:456673ddeb,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_1lt_c67,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:4:4b16f0bf6f,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_1lt_c07,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:4:5feef4bd3b,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_2lt_c07,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:4:87ec840e50,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_2lt_c67,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:4:f5fed66835,staging_variant_matrix_rows.csv,Exterior 1,4,stingray_3lt_c67,variant_matrix_row,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.",A1,ZF1,,"Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8."
staging_variant_matrix_rows.csv:Exterior 1:7:38d88fa1a3,staging_variant_matrix_rows.csv,Exterior 1,7,stingray_1lt_c07,variant_matrix_row,Chrome Exterior Badge Package,A,EYK,,Chrome Exterior Badge Package
staging_variant_matrix_rows.csv:Exterior 1:7:ba9f476392,staging_variant_matrix_rows.csv,Exterior 1,7,stingray_3lt_c67,variant_matrix_row,Chrome Exterior Badge Package,A,EYK,,Chrome Exterior Badge Package
staging_variant_matrix_rows.csv:Exterior 1:7:c11b62b036,staging_variant_matrix_rows.csv,Exterior 1,7,stingray_3lt_c07,variant_matrix_row,Chrome Exterior Badge Package,A,EYK,,Chrome Exterior Badge Package
staging_variant_matrix_rows.csv:Exterior 1:7:d32d5665ac,staging_variant_matrix_rows.csv,Exterior 1,7,stingray_2lt_c07,variant_matrix_row,Chrome Exterior Badge Package,A,EYK,,Chrome Exterior Badge Package
