proposal_selectable_id,model_key,variant_id,orderable_rpo,availability_value,canonical_availability_status,reconciliation_status,notes
prop_grand_sport_exterior_17a,grand_sport,grand_sport_1lt_e07,17A,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_20a,grand_sport,grand_sport_1lt_e07,20A,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_55a,grand_sport,grand_sport_1lt_e07,55A,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_5jr,grand_sport,grand_sport_1lt_e07,5JR,not_available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_5zb,grand_sport,grand_sport_1lt_e07,5ZB,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_5zc,grand_sport,grand_sport_1lt_e07,5ZC,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_5zd,grand_sport,grand_sport_1lt_e07,5ZD,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_5zv,grand_sport,grand_sport_1lt_e07,5ZV,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_75a,grand_sport,grand_sport_1lt_e07,75A,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_97a,grand_sport,grand_sport_1lt_e07,97A,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_c2z,grand_sport,grand_sport_1lt_e07,C2Z,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_cc3,grand_sport,grand_sport_1lt_e07,CC3,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_cf8,grand_sport,grand_sport_1lt_e07,CF8,not_available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_cfl,grand_sport,grand_sport_1lt_e07,CFL,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_cfv,grand_sport,grand_sport_1lt_e07,CFV,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_cfz,grand_sport,grand_sport_1lt_e07,CFZ,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_d84,grand_sport,grand_sport_1lt_e07,D84,not_available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_d86,grand_sport,grand_sport_1lt_e07,D86,not_available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_dmu,grand_sport,grand_sport_1lt_e07,DMU,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
prop_grand_sport_exterior_dmv,grand_sport,grand_sport_1lt_e07,DMV,available,,model_context_unavailable,Availability policy is one row per selectable plus variant_id; no canonical rows generated.
