section_family,model_key,affected_selectable_count,required_mapping,recommended_action
exterior,grand_sport,79,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
exterior,stingray,81,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
exterior,z06,80,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
exterior,zr1,48,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
exterior,zr1x,48,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
interior,grand_sport,37,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
interior,stingray,37,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
interior,z06,40,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
interior,zr1,39,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
interior,zr1x,39,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
mechanical,grand_sport,27,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
mechanical,stingray,26,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
mechanical,z06,25,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
mechanical,zr1,18,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
mechanical,zr1x,18,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
standard_equipment,grand_sport,5,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
standard_equipment,stingray,4,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
standard_equipment,z06,6,section_family -> section_id/step_id/category_id,Create an explicit section import map before apply.
