proposal_selectable_id,proposed_target_table,proposed_target_row_key,source_ref_id,source_sheet,source_row,notes
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:185ae7da09,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:32613c32fb,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:7a9781d6be,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:b1a22e45aa,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:bb0b2c1be7,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_17a,catalog/selectables.csv,sel_grand_sport_17a,staging_variant_matrix_rows.csv:Exterior 2:76:fc9644af14,Exterior 2,76,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:121a5bb85a,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:1f939aa737,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:4e7341b0ed,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:66e48f52b3,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:c31cf76af0,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_exterior_20a,catalog/selectables.csv,sel_grand_sport_20a,staging_variant_matrix_rows.csv:Exterior 2:72:e870d233f0,Exterior 2,72,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:2242743e89,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:3afdf86f4f,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:53cdad39bf,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:70141e2372,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:747a9453b0,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_36s,catalog/selectables.csv,sel_grand_sport_36s,staging_variant_matrix_rows.csv:Interior 2:83:bc3853433f,Interior 2,83,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:0a8c33250e,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:4187fa4e56,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:622a56018d,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:9137736e1e,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:d1ca9db47d,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
prop_grand_sport_interior_379,catalog/selectables.csv,sel_grand_sport_379,staging_variant_matrix_rows.csv:Interior 2:59:f5fda81d5d,Interior 2,59,source_refs_member_table plan only; no canonical source refs written.
