proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,match_confidence,match_reasons,label_match_status,description_match_status,review_bucket,triage_status,recommended_action,notes
prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_b6p,stingray,B6P,opt_b6p_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_bc4,stingray,BC4,opt_bc4_001,medium,model_context_and_rpo_match,mismatch,canonical_missing,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_bcp,stingray,BCP,opt_bcp_001,medium,model_context_and_rpo_match,mismatch,canonical_missing,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_bcs,stingray,BCS,opt_bcs_001,medium,model_context_and_rpo_match,mismatch,canonical_missing,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_d3v,stingray,D3V,opt_d3v_001,high,model_context_and_rpo_match,exact_match,canonical_missing,matched_but_section_mapping_needed,review_required,review_section_mapping,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_standard_equipment_d3v,stingray,D3V,opt_d3v_001,high,model_context_and_rpo_match,exact_match,canonical_missing,matched_but_section_mapping_needed,review_required,review_section_mapping,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_eri,stingray,ERI,opt_eri_001,high,model_context_and_rpo_match,exact_match,canonical_missing,matched_but_section_mapping_needed,review_required,review_section_mapping,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_r88,stingray,R88,opt_r88_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_rik,stingray,RIK,opt_rik_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_rin,stingray,RIN,opt_rin_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_rnx,stingray,RNX,opt_rnx_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_rwh,stingray,RWH,opt_rwh_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
