section_family,model_key,affected_selectable_count,affected_conflict_count,affected_new_candidate_count,required_mapping,recommended_action,suggested_config_file,triage_status,notes
exterior,grand_sport,79,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
interior,grand_sport,37,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
mechanical,grand_sport,27,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
standard_equipment,grand_sport,5,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
exterior,stingray,81,85,100,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
interior,stingray,37,85,100,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
mechanical,stingray,26,85,100,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
standard_equipment,stingray,4,85,100,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
exterior,z06,80,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
interior,z06,40,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
mechanical,z06,25,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
standard_equipment,z06,6,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
exterior,zr1,48,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
interior,zr1,39,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
mechanical,zr1,18,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
exterior,zr1x,48,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
interior,zr1x,39,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
mechanical,zr1x,18,0,0,section_family -> section_id/step_id/category_id,create_section_family_map_in_future_pass,data/import_maps/corvette_2027/section_family_map.csv,blocked,No section map was created by this triage pass.
