model_key,section_family,retained_selectable_count,retained_availability_count,available_count,standard_count,not_available_count,unique_rpo_count,multi_model_rpo_count,source_ref_count
grand_sport,exterior,79,474,445,0,29,79,61,474
grand_sport,interior,37,222,191,0,31,37,37,222
grand_sport,mechanical,27,162,144,0,18,27,25,162
grand_sport,standard_equipment,5,30,24,0,6,5,5,30
stingray,exterior,81,486,453,0,33,81,51,486
stingray,interior,37,222,191,0,31,37,37,222
stingray,mechanical,26,156,138,0,18,26,23,156
stingray,standard_equipment,4,24,18,0,6,4,4,24
z06,exterior,80,480,447,0,33,80,62,480
z06,interior,40,240,195,0,45,40,39,240
z06,mechanical,25,150,129,0,21,25,22,150
z06,standard_equipment,6,36,23,0,13,6,5,36
zr1,exterior,48,196,182,0,14,48,48,196
zr1,interior,39,156,130,0,26,39,39,156
zr1,mechanical,18,72,68,0,4,18,18,72
zr1x,exterior,48,196,182,0,14,48,48,196
zr1x,interior,39,156,130,0,26,39,39,156
zr1x,mechanical,18,72,68,0,4,18,18,72
