source_file,source_field,source_values,target_table,target_field,alignment_status,transformation_needed,schema_context_confidence,notes
catalog/selectables.csv,proposal_selectable_id,prop_grand_sport_exterior_17a|prop_grand_sport_exterior_20a|prop_grand_sport_exterior_55a|prop_grand_sport_exterior_5jr|prop_grand_sport_exterior_5zb|prop_grand_sport_exterior_5zc|prop_grand_sport_exterior_5zd|prop_grand_sport_exterior_5zv|prop_grand_sport_exterior_75a|prop_grand_sport_exterior_97a|prop_grand_sport_exterior_c2z|prop_grand_sport_exterior_cc3|...(+645),data/stingray/catalog/selectables.csv,selectable_id,transform_required,yes,partial,canonical selectable_id policy required; proposal ID remains review-only.
catalog/selectables.csv,proposal_scope,primary_matrix_selectable_candidate,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Proposal boundary metadata should not become canonical selectable data.
catalog/selectables.csv,proposal_status,proposal_only,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Proposal-only warning/status metadata.
catalog/selectables.csv,source_sheet,Exterior 1|Exterior 2|Exterior 3|Exterior 4|Interior 1|Interior 2|Interior 3|Interior 4|Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|...(+3),data/stingray/catalog/selectables.csv,source_refs,review_required,yes,partial,Workbook source identity belongs in traceability/governance evidence.
catalog/selectables.csv,model_key,grand_sport|stingray|z06|zr1|zr1x,data/stingray/catalog/selectables.csv,model_key,target_schema_missing,yes,partial,"Model scope likely belongs to variant/scope relation, not selectable identity alone."
catalog/selectables.csv,section_family,exterior|interior|mechanical|standard_equipment,data/stingray/catalog/selectables.csv,section_id,target_schema_missing,yes,partial,section_family is a broad importer family and is not final section_id.
catalog/selectables.csv,orderable_rpo,17A|20A|36S|379|37S|38S|3A9|3F9|3M9|3N9|55A|5DG|...(+201),data/stingray/catalog/selectables.csv,rpo,direct_map,no,partial,Orderable RPO is the cleanest direct selectable field.
catalog/selectables.csv,ref_rpo,,data/stingray/catalog/selectables.csv,,review_required,yes,partial,Ref-only evidence must remain separate from orderable selectable identity.
catalog/selectables.csv,proposal_label,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.|3 Years SiriusXM|Admiral Blue Grand Sport Heritage Center Stripe|Admiral Blue Grand Sport Heritage Hash Marks|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package|Arctic White Grand Sport Heritage Center Stripe|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes|Battery Protection Package|Blade Silver Grand Sport Heritage Center Stripe|Blade Silver Grand Sport Heritage Hash Marks|Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers|...(+211)",data/stingray/catalog/selectables.csv,label,direct_map,no,partial,Proposal label can map after ID and review policy are settled.
catalog/selectables.csv,description,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.|3 Years SiriusXM|Admiral Blue Grand Sport Heritage Center Stripe|Admiral Blue Grand Sport Heritage Hash Marks|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package|Arctic White Grand Sport Heritage Center Stripe|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes|Battery Protection Package|Blade Silver Grand Sport Heritage Center Stripe|Blade Silver Grand Sport Heritage Hash Marks|Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers|...(+211)",data/stingray/catalog/selectables.csv,description,direct_map,no,partial,Raw proposal description can map as description with source review.
