source_sheet,source_row,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,5,corvette,model_global,,,HTA,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",HTA,H,TA,unknown,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,HUP,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",HUP,H,UP,unknown,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,HUQ,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",HUQ,H,UQ,unknown,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,HTJ,Performance Textile5,AE4,"1LT, 1LZ",HTJ,H,TJ,unknown,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,model_global,,,,Performance Textile5,AE4,"1LT, 1LZ",--,--,,not_available,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,H1Y,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",H1Y,H,1Y,unknown,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,HUN,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",HUN,H,UN,unknown,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,HUR,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",HUR,H,UR,unknown,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,HUV,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",HUV,H,UV,unknown,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
