source_sheet,source_row,raw_values,reason
Price Schedule,4,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,41,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,290,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,292,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,294,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,296,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,298,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,300,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,302,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,303,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Price Schedule,304,"["""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Standard Equipment 1,1,"[""Stingray"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Standard Equipment 1,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Standard Equipment 1,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Coupe\n1YC07\n1LT"",""Coupe\n1YC07\n2LT"",""Coupe\n1YC07\n3LT"",""Convertible\n1YC67\n1LT"",""Convertible\n1YC67\n2LT"",""Convertible\n1YC67\n3LT""]",header_or_legend_row
Standard Equipment 2,1,"[""Grand Sport"","""","""","""","""","""","""","""",""""]",header_or_legend_row
Standard Equipment 2,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
