sheet_name,sheet_role,section_family,model_group_index,model_key,scope_type,creates_canonical_candidates,notes
Price Schedule,price_source,pricing,,corvette,model_global,false,Price Schedule extraction is staging evidence only; no final price semantics are inferred.
Standard Equipment 1,primary_variant_matrix,standard_equipment,1,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Standard Equipment 2,primary_variant_matrix,standard_equipment,2,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Standard Equipment 3,primary_variant_matrix,standard_equipment,3,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Standard Equipment 4,primary_variant_matrix,standard_equipment,4,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Equipment Groups 1,derived_equipment_summary,equipment_groups,1,corvette,derived_cross_check,false,Derived/cross-check sheet; rows unmatched to primary sheets are flagged and never promoted.
Equipment Groups 2,derived_equipment_summary,equipment_groups,2,corvette,derived_cross_check,false,Derived/cross-check sheet; rows unmatched to primary sheets are flagged and never promoted.
Equipment Groups 3,derived_equipment_summary,equipment_groups,3,corvette,derived_cross_check,false,Derived/cross-check sheet; rows unmatched to primary sheets are flagged and never promoted.
Equipment Groups 4,derived_equipment_summary,equipment_groups,4,corvette,derived_cross_check,false,Derived/cross-check sheet; rows unmatched to primary sheets are flagged and never promoted.
Interior 1,primary_variant_matrix,interior,1,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Interior 2,primary_variant_matrix,interior,2,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Interior 3,primary_variant_matrix,interior,3,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Interior 4,primary_variant_matrix,interior,4,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Exterior 1,primary_variant_matrix,exterior,1,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Exterior 2,primary_variant_matrix,exterior,2,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Exterior 3,primary_variant_matrix,exterior,3,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Exterior 4,primary_variant_matrix,exterior,4,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Mechanical 1,primary_variant_matrix,mechanical,1,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Mechanical 2,primary_variant_matrix,mechanical,2,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Mechanical 3,primary_variant_matrix,mechanical,3,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Mechanical 4,primary_variant_matrix,mechanical,4,corvette,variant_scoped,true,Primary variant-scoped matrix sheet.
Color and Trim 1,model_global_matrix,color_trim,,corvette,model_global,false,Color and Trim sheets are model-global
Color and Trim 2,model_global_matrix,color_trim,,corvette,model_global,false,Color and Trim sheets are model-global
