source_sheet,source_row,model_key,section_family,orderable_rpo,ref_rpo,description,variant_id,body_code,body_style,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",1lt_c07,1YC07,coupe,1LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",2lt_c07,1YC07,coupe,2LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",3lt_c07,1YC07,coupe,3LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",1lt_c67,1YC67,convertible,1LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",2lt_c67,1YC67,convertible,2LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",3lt_c67,1YC67,convertible,3LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",2lt_c67,1YC67,convertible,2LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",3lt_c67,1YC67,convertible,3LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,1lt_c07,1YC07,coupe,1LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,2lt_c07,1YC07,coupe,2LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,3lt_c07,1YC07,coupe,3LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,1lt_c67,1YC67,convertible,1LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,2lt_c67,1YC67,convertible,2LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,6,corvette,standard_equipment,,,Air filtration system with pollen filter,3lt_c67,1YC67,convertible,3LT,S,S,,standard,Air filtration system with pollen filter
Standard Equipment 1,7,corvette,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
Standard Equipment 1,7,corvette,standard_equipment,,IVE,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones",2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Infotainment system with Google Built-In,12.7"" diagonal center console display, 14"" diagonal Driver Information Center, and 6.6"" diagonal auxiliary touchscreen, with Google Built-In compatibility, including navigation capability, connected apps, Natural Voice Recognition. Phone integration for Wireless Apple CarPlay/Wireless Android Auto for compatible phones"
