staging_file,source_sheet,model_key,model_key_confidence,count
color_trim_compatibility_rows,Color and Trim 1,<blank>,needs_review,130
color_trim_compatibility_rows,Color and Trim 2,<blank>,needs_review,40
color_trim_disclosures,Color and Trim 1,<blank>,needs_review,2
color_trim_disclosures,Color and Trim 2,<blank>,needs_review,1
color_trim_interior_rows,Color and Trim 1,<blank>,needs_review,40
color_trim_interior_rows,Color and Trim 2,<blank>,needs_review,9
equipment_group_rows,Equipment Groups 1,stingray,high,171
equipment_group_rows,Equipment Groups 2,grand_sport,high,170
equipment_group_rows,Equipment Groups 3,z06,high,173
equipment_group_rows,Equipment Groups 4,<blank>,needs_review,140
ignored_rows,Equipment Groups 1,<blank>,needs_review,3
ignored_rows,Equipment Groups 1,stingray,high,1
ignored_rows,Equipment Groups 2,<blank>,needs_review,3
ignored_rows,Equipment Groups 2,grand_sport,high,1
ignored_rows,Equipment Groups 3,<blank>,needs_review,3
ignored_rows,Equipment Groups 3,z06,high,1
ignored_rows,Equipment Groups 4,<blank>,needs_review,4
ignored_rows,Exterior 1,<blank>,needs_review,3
ignored_rows,Exterior 2,<blank>,needs_review,3
ignored_rows,Exterior 3,<blank>,needs_review,3
ignored_rows,Exterior 4,<blank>,needs_review,3
ignored_rows,Interior 1,<blank>,needs_review,3
ignored_rows,Interior 2,<blank>,needs_review,3
ignored_rows,Interior 3,<blank>,needs_review,3
ignored_rows,Interior 4,<blank>,needs_review,3
ignored_rows,Mechanical 1,<blank>,needs_review,3
ignored_rows,Mechanical 2,<blank>,needs_review,3
ignored_rows,Mechanical 3,<blank>,needs_review,3
ignored_rows,Mechanical 4,<blank>,needs_review,3
ignored_rows,Price Schedule,<blank>,needs_review,11
ignored_rows,Standard Equipment 1,<blank>,needs_review,3
ignored_rows,Standard Equipment 2,<blank>,needs_review,3
ignored_rows,Standard Equipment 3,<blank>,needs_review,3
ignored_rows,Standard Equipment 4,<blank>,needs_review,3
price_rows,Price Schedule,<blank>,<blank>,267
price_rows,Price Schedule,grand_sport,high,6
price_rows,Price Schedule,stingray,high,6
price_rows,Price Schedule,z06,high,6
price_rows,Price Schedule,zr1,high,4
price_rows,Price Schedule,zr1x,high,4
