source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,exterior_color_name_raw,exterior_color_name,exterior_color_rpo_raw,exterior_color_rpo,touch_up_paint_code,interior_rpo_raw,interior_rpo,interior_footnote_refs,interior_footnote_scope,raw_status,status_symbol,footnote_refs,canonical_status,confidence,source_detail_raw
Color and Trim 1,16,E16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,F16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,G16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,--,--,,not_available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,H16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Adrenaline Red Dipped3
en-us",Adrenaline Red Dipped,3,interior_color_header,--,--,,not_available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,I16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Natural2
en-us",Natural,2,interior_color_header,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,J16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Natural Dipped4
en-us",Natural Dipped,4,interior_color_header,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,K16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Santorini Blue
en-us",Santorini Blue,,,--,--,,not_available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,L16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Habanero
en-us",Habanero,,,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,M16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Very Dark Atmosphere
en-us",Very Dark Atmosphere,,,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,16,N16,corvette,,needs_review,model_global,Sebring Orange Tintcoat9,Sebring Orange Tintcoat,G26,G26,WA-418C,"Ultimate Suede Jet Black
en-us",Ultimate Suede Jet Black,,,A,A,,available,high,"[""Sebring Orange Tintcoat9"","""",""G26"",""WA-418C"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""A"",""A"",""A"",""--"",""--"",""--""]"
