source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,trim_level,seat_type,seat_code,seat_trim_raw,seat_trim,interior_color_name,interior_rpo_raw,interior_rpo,footnote_refs,footnote_scope,confidence,source_detail_raw
Color and Trim 1,5,E5,corvette,,needs_review,model_global,"1LT, 1LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Jet Black,HTA,HTA,,,high,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,F5,corvette,,needs_review,model_global,"1LT, 1LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Sky Cool Gray,HUP,HUP,1,interior_color_header,high,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,G5,corvette,,needs_review,model_global,"1LT, 1LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Adrenaline Red,HUQ,HUQ,2,interior_color_header,high,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,E6,corvette,,needs_review,model_global,"1LT, 1LZ",Competition buckets,AE4,Performance Textile5,Performance Textile,Jet Black,HTJ,HTJ,5,seat_trim,high,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,E7,corvette,,needs_review,model_global,"2LT, 2LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Jet Black,H1Y,H1Y,,,high,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,F7,corvette,,needs_review,model_global,"2LT, 2LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Sky Cool Gray,HUN,HUN,1,interior_color_header,high,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,G7,corvette,,needs_review,model_global,"2LT, 2LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Adrenaline Red,HUR,HUR,2,interior_color_header,high,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,I7,corvette,,needs_review,model_global,"2LT, 2LZ",GT1 buckets,AQ9,Mulan leather seating surfaces with perforated inserts,Mulan leather seating surfaces with perforated inserts,Natural,HUV,HUV,2,interior_color_header,high,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,E8,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Jet Black,HTM,HTM,,,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,F8,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Sky Cool Gray,HUK,HUK,1,interior_color_header,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,G8,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Adrenaline Red,HUL,HUL,2,interior_color_header,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,I8,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Natural,HTN,HTN,2,interior_color_header,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
