source_sheet,source_row,guide_family,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,5,corvette,,model_global,,,HTA,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",,,,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,,model_global,,,HUP,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",,,1,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,5,corvette,,model_global,,,HUQ,Mulan leather seating surfaces with perforated inserts,AQ9,"1LT, 1LZ",,,2,,"[""1LT, 1LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""HTA"",""HUP"",""HUQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,6,corvette,,model_global,,,HTJ,Performance Textile,AE4,"1LT, 1LZ",,,5,,"[""1LT, 1LZ"",""Competition buckets"",""AE4"",""Performance Textile5"",""HTJ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,,model_global,,,H1Y,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",,,,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,,model_global,,,HUN,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",,,1,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,,model_global,,,HUR,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",,,2,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,,model_global,,,HUV,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",,,2,,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,,model_global,,,HTM,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",,,,,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,,model_global,,,HUK,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",,,1,,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,,model_global,,,HUL,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",,,2,,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,,model_global,,,HTN,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",,,2,,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,corvette,,model_global,,,HTP,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"2LT, 2LZ",,,5,,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
