source_sheet,source_row,guide_family,model_key,model_key_confidence,price_block_label,raw_values,notes
Price Schedule,3,corvette,,,raw_price_schedule_row,"[""EFFECTIVE WITH START OF 2027 MODEL YEAR PRODUCTION"","""","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,5,corvette,,,base_model_prices,"[""Base Model Prices"","""","""","""","""","""","""","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,6,corvette,,,raw_price_schedule_row,"["""",""Model"",""Model Description"",""List"",""Factory"",""MSRP(c)"",""Dealer"",""Dealer"",""Employee"",""DFC"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,7,corvette,,,raw_price_schedule_row,"["""","""","""",""Price"",""D/H(b)"","""",""Invoice"",""Price(c)"",""Price(c)"","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,8,corvette,,,raw_price_schedule_row,"["""","""","""","""","""","""",""Price(a)&(c)"","""","""","""",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,9,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 1LT"",""71000"",""0"",""71000"",""66314"",""64184"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,10,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 1LT"",""78000"",""0"",""78000"",""72852"",""70512"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,11,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 2LT"",""78100"",""0"",""78100"",""72945.4"",""70602.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,12,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC07"",""Corvette Stingray Coupe 3LT"",""82750"",""0"",""82750"",""77288.5"",""74806"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,13,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 2LT"",""85100"",""0"",""85100"",""79483.4"",""76930.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,14,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 1LT"",""86000"",""0"",""86000"",""80324"",""77744"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,15,corvette,stingray,high,raw_price_schedule_row,"["""",""1YC67"",""Corvette Stingray Convertible 3LT"",""89750"",""0"",""89750"",""83826.5"",""81134"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,16,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE67"",""Corvette Grand Sport Convertible 1LT"",""93000"",""0"",""93000"",""86862"",""84072"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,17,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 2LT"",""93100"",""0"",""93100"",""86955.4"",""84162.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,18,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE07"",""Corvette Grand Sport Coupe 3LT"",""97750"",""0"",""97750"",""91298.5"",""88366"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,19,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE67"",""Corvette Grand Sport Convertible 2LT"",""100100"",""0"",""100100"",""93493.4"",""90490.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,20,corvette,grand_sport,high,raw_price_schedule_row,"["""",""1YE67"",""Corvette Grand Sport Convertible 3LT"",""104750"",""0"",""104750"",""97836.5"",""94694"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,21,corvette,,,raw_price_schedule_row,"["""",""1YG07"",""Corvette Grand Sport X Coupe 1LT"",""109700"",""0"",""109700"",""102459.8"",""99168.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,22,corvette,,,raw_price_schedule_row,"["""",""1YG07"",""Corvette Grand Sport X Coupe 2LT"",""115200"",""0"",""115200"",""107596.8"",""104140.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,23,corvette,,,raw_price_schedule_row,"["""",""1YG67"",""Corvette Grand Sport X Convertible 1LT"",""116700"",""0"",""116700"",""108997.8"",""105496.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,24,corvette,z06,high,raw_price_schedule_row,"["""",""1YH07"",""Corvette Z06 Coupe 1LZ"",""118900"",""0"",""118900"",""111052.6"",""107485.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,25,corvette,,,raw_price_schedule_row,"["""",""1YG07"",""Corvette Grand Sport X Coupe 3LT"",""120350"",""0"",""120350"",""112406.9"",""108796.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,26,corvette,,,raw_price_schedule_row,"["""",""1YG67"",""Corvette Grand Sport X Convertible 2LT"",""122200"",""0"",""122200"",""114134.8"",""110468.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,27,corvette,z06,high,raw_price_schedule_row,"["""",""1YH67"",""Corvette Z06 Convertible 1LZ"",""125900"",""0"",""125900"",""117590.6"",""113813.6"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,28,corvette,,,raw_price_schedule_row,"["""",""1YG67"",""Corvette Grand Sport X Convertible 3LT"",""127350"",""0"",""127350"",""118944.9"",""115124.4"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,29,corvette,z06,high,raw_price_schedule_row,"["""",""1YH07"",""Corvette Z06 Coupe 2LZ"",""127800"",""0"",""127800"",""119365.2"",""115531.2"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,30,corvette,z06,high,raw_price_schedule_row,"["""",""1YH07"",""Corvette Z06 Coupe 3LZ"",""132450"",""0"",""132450"",""123708.3"",""119734.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,31,corvette,z06,high,raw_price_schedule_row,"["""",""1YH67"",""Corvette Z06 Convertible 2LZ"",""134800"",""0"",""134800"",""125903.2"",""121859.2"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,32,corvette,z06,high,raw_price_schedule_row,"["""",""1YH67"",""Corvette Z06 Convertible 3LZ"",""139450"",""0"",""139450"",""130246.3"",""126062.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
Price Schedule,33,corvette,zr1,high,raw_price_schedule_row,"["""",""1YR07"",""Corvette ZR1 Coupe 1LZ"",""194700"",""0"",""194700"",""181849.8"",""176008.8"",""0"",""2495"",""""]","Price Schedule extraction in this pass is staging evidence only. Do not classify final canonical price rules, price books, package pricing, or included-zero pricing yet."
