source_sheet,source_row,guide_family,model_key,model_key_confidence,section_family,orderable_rpo,ref_rpo,description,variant_id,body_code,body_style,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_1lt_c07,1YC07,coupe,1LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_2lt_c07,1YC07,coupe,2LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_3lt_c07,1YC07,coupe,3LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_1lt_c67,1YC67,convertible,1LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_2lt_c67,1YC67,convertible,2LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,4,corvette,stingray,high,standard_equipment,,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information.",stingray_3lt_c67,1YC67,convertible,3LT,S1,S,1,standard,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System
1. Always use seat belts and child restraints. Never place an infant or child restraint seat in the front seat, even if the airbag is off. See the Owner's Manual for more information."
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_1lt_c07,1YC07,coupe,1LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_2lt_c07,1YC07,coupe,2LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_3lt_c07,1YC07,coupe,3LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
Standard Equipment 1,5,corvette,stingray,high,standard_equipment,,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",stingray_1lt_c67,1YC67,convertible,1LT,S,S,,standard,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display"
