source_sheet,guide_family,model_key,variant_label,body_code,body_style,trim_level,inferred_variant_id,source_cell_range,confidence,notes
Standard Equipment 1,corvette,stingray,Coupe 1YC07 1LT,1YC07,coupe,1LT,stingray_1lt_c07,D,high,Model key resolved from workbook body code 1YC07.
Standard Equipment 1,corvette,stingray,Coupe 1YC07 2LT,1YC07,coupe,2LT,stingray_2lt_c07,E,high,Model key resolved from workbook body code 1YC07.
Standard Equipment 1,corvette,stingray,Coupe 1YC07 3LT,1YC07,coupe,3LT,stingray_3lt_c07,F,high,Model key resolved from workbook body code 1YC07.
Standard Equipment 1,corvette,stingray,Convertible 1YC67 1LT,1YC67,convertible,1LT,stingray_1lt_c67,G,high,Model key resolved from workbook body code 1YC67.
Standard Equipment 1,corvette,stingray,Convertible 1YC67 2LT,1YC67,convertible,2LT,stingray_2lt_c67,H,high,Model key resolved from workbook body code 1YC67.
Standard Equipment 1,corvette,stingray,Convertible 1YC67 3LT,1YC67,convertible,3LT,stingray_3lt_c67,I,high,Model key resolved from workbook body code 1YC67.
Standard Equipment 2,corvette,grand_sport,Grand Sport Coupe 1YE07 1LT,1YE07,coupe,1LT,grand_sport_1lt_e07,D,high,Model key resolved from workbook body code 1YE07.
Standard Equipment 2,corvette,grand_sport,Grand Sport Coupe 1YE07 2LT,1YE07,coupe,2LT,grand_sport_2lt_e07,E,high,Model key resolved from workbook body code 1YE07.
Standard Equipment 2,corvette,grand_sport,Grand Sport Coupe 1YE07 3LT,1YE07,coupe,3LT,grand_sport_3lt_e07,F,high,Model key resolved from workbook body code 1YE07.
Standard Equipment 2,corvette,grand_sport,Grand Sport Convertible 1YE67 1LT,1YE67,convertible,1LT,grand_sport_1lt_e67,G,high,Model key resolved from workbook body code 1YE67.
Standard Equipment 2,corvette,grand_sport,Grand Sport Convertible 1YE67 2LT,1YE67,convertible,2LT,grand_sport_2lt_e67,H,high,Model key resolved from workbook body code 1YE67.
Standard Equipment 2,corvette,grand_sport,Grand Sport Convertible 1YE67 3LT,1YE67,convertible,3LT,grand_sport_3lt_e67,I,high,Model key resolved from workbook body code 1YE67.
Standard Equipment 3,corvette,z06,Z06 Coupe 1YH07 1LZ,1YH07,coupe,1LZ,z06_1lz_h07,D,high,Model key resolved from workbook body code 1YH07.
Standard Equipment 3,corvette,z06,Z06 Coupe 1YH07 2LZ,1YH07,coupe,2LZ,z06_2lz_h07,E,high,Model key resolved from workbook body code 1YH07.
Standard Equipment 3,corvette,z06,Z06 Coupe 1YH07 3LZ,1YH07,coupe,3LZ,z06_3lz_h07,F,high,Model key resolved from workbook body code 1YH07.
Standard Equipment 3,corvette,z06,Z06 Convertible 1YH67 1LZ,1YH67,convertible,1LZ,z06_1lz_h67,G,high,Model key resolved from workbook body code 1YH67.
Standard Equipment 3,corvette,z06,Z06 Convertible 1YH67 2LZ,1YH67,convertible,2LZ,z06_2lz_h67,H,high,Model key resolved from workbook body code 1YH67.
Standard Equipment 3,corvette,z06,Z06 Convertible 1YH67 3LZ,1YH67,convertible,3LZ,z06_3lz_h67,I,high,Model key resolved from workbook body code 1YH67.
Standard Equipment 4,corvette,zr1,ZR1 Coupe 1YR07 1LZ,1YR07,coupe,1LZ,zr1_1lz_r07,D,high,Model key resolved from workbook body code 1YR07.
Standard Equipment 4,corvette,zr1,ZR1 Coupe 1YR07 3LZ,1YR07,coupe,3LZ,zr1_3lz_r07,E,high,Model key resolved from workbook body code 1YR07.
Standard Equipment 4,corvette,zr1,ZR1 Convertible 1YR67 1LZ,1YR67,convertible,1LZ,zr1_1lz_r67,F,high,Model key resolved from workbook body code 1YR67.
Standard Equipment 4,corvette,zr1,ZR1 Convertible 1YR67 3LZ,1YR67,convertible,3LZ,zr1_3lz_r67,G,high,Model key resolved from workbook body code 1YR67.
Standard Equipment 4,corvette,zr1x,ZR1X Coupe 1YS07 1LZ,1YS07,coupe,1LZ,zr1x_1lz_s07,H,high,Model key resolved from workbook body code 1YS07.
Standard Equipment 4,corvette,zr1x,ZR1X Coupe 1YS07 3LZ,1YS07,coupe,3LZ,zr1x_3lz_s07,I,high,Model key resolved from workbook body code 1YS07.
Standard Equipment 4,corvette,zr1x,ZR1X Convertible 1YS67 1LZ,1YS67,convertible,1LZ,zr1x_1lz_s67,J,high,Model key resolved from workbook body code 1YS67.
Standard Equipment 4,corvette,zr1x,ZR1X Convertible 1YS67 3LZ,1YS67,convertible,3LZ,zr1x_3lz_s67,K,high,Model key resolved from workbook body code 1YS67.
Equipment Groups 1,corvette,stingray,Coupe 1YC07 1LT,1YC07,coupe,1LT,stingray_1lt_c07,D,high,Model key resolved from workbook body code 1YC07.
Equipment Groups 1,corvette,stingray,Coupe 1YC07 2LT,1YC07,coupe,2LT,stingray_2lt_c07,E,high,Model key resolved from workbook body code 1YC07.
Equipment Groups 1,corvette,stingray,Coupe 1YC07 3LT,1YC07,coupe,3LT,stingray_3lt_c07,F,high,Model key resolved from workbook body code 1YC07.
Equipment Groups 1,corvette,stingray,Convertible 1YC67 1LT,1YC67,convertible,1LT,stingray_1lt_c67,G,high,Model key resolved from workbook body code 1YC67.
Equipment Groups 1,corvette,stingray,Convertible 1YC67 2LT,1YC67,convertible,2LT,stingray_2lt_c67,H,high,Model key resolved from workbook body code 1YC67.
Equipment Groups 1,corvette,stingray,Convertible 1YC67 3LT,1YC67,convertible,3LT,stingray_3lt_c67,I,high,Model key resolved from workbook body code 1YC67.
Equipment Groups 2,corvette,grand_sport,Grand Sport Coupe 1YE07 1LT,1YE07,coupe,1LT,grand_sport_1lt_e07,D,high,Model key resolved from workbook body code 1YE07.
Equipment Groups 2,corvette,grand_sport,Grand Sport Coupe 1YE07 2LT,1YE07,coupe,2LT,grand_sport_2lt_e07,E,high,Model key resolved from workbook body code 1YE07.
Equipment Groups 2,corvette,grand_sport,Grand Sport Coupe 1YE07 3LT,1YE07,coupe,3LT,grand_sport_3lt_e07,F,high,Model key resolved from workbook body code 1YE07.
Equipment Groups 2,corvette,grand_sport,Grand Sport Convertible 1YE67 1LT,1YE67,convertible,1LT,grand_sport_1lt_e67,G,high,Model key resolved from workbook body code 1YE67.
Equipment Groups 2,corvette,grand_sport,Grand Sport Convertible 1YE67 2LT,1YE67,convertible,2LT,grand_sport_2lt_e67,H,high,Model key resolved from workbook body code 1YE67.
Equipment Groups 2,corvette,grand_sport,Grand Sport Convertible 1YE67 3LT,1YE67,convertible,3LT,grand_sport_3lt_e67,I,high,Model key resolved from workbook body code 1YE67.
Equipment Groups 3,corvette,z06,Z06 Coupe 1YH07 1LZ,1YH07,coupe,1LZ,z06_1lz_h07,D,high,Model key resolved from workbook body code 1YH07.
Equipment Groups 3,corvette,z06,Z06 Coupe 1YH07 2LZ,1YH07,coupe,2LZ,z06_2lz_h07,E,high,Model key resolved from workbook body code 1YH07.
Equipment Groups 3,corvette,z06,Z06 Coupe 1YH07 3LZ,1YH07,coupe,3LZ,z06_3lz_h07,F,high,Model key resolved from workbook body code 1YH07.
Equipment Groups 3,corvette,z06,Z06 Convertible 1YH67 1LZ,1YH67,convertible,1LZ,z06_1lz_h67,G,high,Model key resolved from workbook body code 1YH67.
Equipment Groups 3,corvette,z06,Z06 Convertible 1YH67 2LZ,1YH67,convertible,2LZ,z06_2lz_h67,H,high,Model key resolved from workbook body code 1YH67.
Equipment Groups 3,corvette,z06,Z06 Convertible 1YH67 3LZ,1YH67,convertible,3LZ,z06_3lz_h67,I,high,Model key resolved from workbook body code 1YH67.
Equipment Groups 4,corvette,zr1,ZR1 Coupe 1YR07 1LZ,1YR07,coupe,1LZ,zr1_1lz_r07,D,high,Model key resolved from workbook body code 1YR07.
Equipment Groups 4,corvette,zr1,ZR1 Coupe 1YR07 3LZ,1YR07,coupe,3LZ,zr1_3lz_r07,E,high,Model key resolved from workbook body code 1YR07.
Equipment Groups 4,corvette,zr1,ZR1 Convertible 1YR67 1LZ,1YR67,convertible,1LZ,zr1_1lz_r67,F,high,Model key resolved from workbook body code 1YR67.
Equipment Groups 4,corvette,zr1,ZR1 Convertible 1YR67 3LZ,1YR67,convertible,3LZ,zr1_3lz_r67,G,high,Model key resolved from workbook body code 1YR67.
Equipment Groups 4,corvette,zr1x,ZR1X Coupe 1YS07 1LZ,1YS07,coupe,1LZ,zr1x_1lz_s07,H,high,Model key resolved from workbook body code 1YS07.
Equipment Groups 4,corvette,zr1x,ZR1X Coupe 1YS07 3LZ,1YS07,coupe,3LZ,zr1x_3lz_s07,I,high,Model key resolved from workbook body code 1YS07.
Equipment Groups 4,corvette,zr1x,ZR1X Convertible 1YS67 1LZ,1YS67,convertible,1LZ,zr1x_1lz_s67,J,high,Model key resolved from workbook body code 1YS67.
