exclusive_group_id,member_selectable_id,active
excl_ls6_engine_covers,opt_bc7_001,true
excl_ls6_engine_covers,opt_bcp_001,true
excl_ls6_engine_covers,opt_bcs_001,true
excl_ls6_engine_covers,opt_bc4_001,true
excl_center_caps,opt_rxj_001,true
excl_center_caps,opt_vwd_001,true
excl_center_caps,opt_5zd_001,true
excl_center_caps,opt_5zc_001,true
excl_center_caps,opt_rxh_001,true
excl_suede_trunk_liner,opt_sxb_001,true
excl_suede_trunk_liner,opt_sxr_001,true
excl_suede_trunk_liner,opt_sxt_001,true
excl_indoor_car_covers,opt_rwh_001,true
excl_indoor_car_covers,opt_sl1_001,true
excl_indoor_car_covers,opt_wkr_001,true
excl_indoor_car_covers,opt_wkq_001,true
excl_outdoor_car_covers,opt_rnx_001,true
excl_outdoor_car_covers,opt_rwj_001,true
