selectable_id,legacy_option_id,section_id,section_name,category_id,category_name,step_key,choice_mode,selection_mode,selection_mode_label,display_order,selectable,active,status_condition_set_id,status_when_matched,status_label_when_matched,status_when_unmatched,status_label_when_unmatched,label,description,source_detail_raw
opt_bc7_001,opt_bc7_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,10,True,True,cs_coupe,standard,Standard,available,Available,Black LS6 engine cover,,Standard on Coupe
opt_bcp_001,opt_bcp_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,20,True,True,,available,Available,available,Available,Edge Red LS6 engine cover,,"1. Includes (D3V) engine lighting. This option is without (B6P)"
opt_bcs_001,opt_bcs_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,30,True,True,,available,Available,available,Available,Sterling Silver LS6 engine cover,,"1. Includes (D3V) engine lighting. This option is without (B6P)"
opt_bc4_001,opt_bc4_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,40,True,True,,available,Available,available,Available,NEW! Blue LS6 engine cover,,"1. Includes (D3V) engine lighting. This option is without (B6P)"
opt_b6p_001,opt_b6p_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,50,True,True,cs_coupe,available,Available,unavailable,Not Available,Coupe Engine Appearance Package,"Includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO","includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO"
opt_zz3_001,opt_zz3_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,60,True,True,cs_convertible,available,Available,unavailable,Not Available,Convertible Engine Appearance Package,"Includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO","includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO"
opt_d3v_001,opt_d3v_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,70,True,True,cs_coupe,available,Available,unavailable,Not Available,Engine lighting,,"1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers."
opt_sl9_001,opt_sl9_001,sec_engi_001,Engine Appearance,cat_mech_001,Mechanical,exterior_appearance,multi,multi_select_opt,Optional multiple choice,80,True,True,,available,Available,available,Available,"LPO, Engine specification plaque",Genuine Corvette Accessory,1. Included with (B6P/ZZ3) Engine Appearance Package.
opt_rxj_001,opt_rxj_001,sec_whee_001,Wheel Accessory,cat_mech_001,Mechanical,wheels,multi,multi_select_opt,Optional multiple choice,30,True,True,,available,Available,available,Available,"LPO, Black wheel center caps with Gray Stingray logo",Genuine Corvette Accessory,
opt_5zd_001,opt_5zd_001,sec_whee_001,Wheel Accessory,cat_mech_001,Mechanical,wheels,multi,multi_select_opt,Optional multiple choice,31,True,True,,available,Available,available,Available,"LPO, Carbon Flash wheel center caps with crossed flags logo",Genuine Corvette Accessory,
opt_5zc_001,opt_5zc_001,sec_whee_001,Wheel Accessory,cat_mech_001,Mechanical,wheels,multi,multi_select_opt,Optional multiple choice,32,True,True,,available,Available,available,Available,"LPO, Jake logo wheel center caps",Genuine Corvette Accessory,
opt_rxh_001,opt_rxh_001,sec_whee_001,Wheel Accessory,cat_mech_001,Mechanical,wheels,multi,multi_select_opt,Optional multiple choice,33,True,True,,available,Available,available,Available,"LPO, Silver wheel center caps with Stingray logo and Red outline",Genuine Corvette Accessory,
opt_vwd_001,opt_vwd_001,sec_whee_001,Wheel Accessory,cat_mech_001,Mechanical,wheels,multi,multi_select_opt,Optional multiple choice,34,True,True,,available,Available,available,Available,"LPO, Stingray R logo wheel center caps",Genuine Corvette Accessory,"1. Included with (PDV) Stingray R Appearance Package, LPO."
