model_key,sheet,excel_row_before_delete,rule_id,source_id,rule_type,target_id,generation_action,normalization_status,runtime_action,skip_reason,action,raw_row_json
stingray,rule_mapping,33,rule_opt_5v7_001_requires_opt_5zu_001,opt_5v7_001,requires,opt_5zu_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires 5ZU, 5ZW or 5ZZ. Not available with STI, TVS, Z51. 2. Requires 5ZU, 5ZW or 5ZZ. Not available with 5VM, 5W8, STI, TVS, Z51."", ""rule_id"": ""rule_opt_5v7_001_requires_opt_5zu_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5v7_001"", ""source_section"": ""sec_lpoe_001"", ""source_selection_mode"": ""multi_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_5zu_001"", ""target_section"": ""sec_spoi_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,34,rule_opt_5v7_001_requires_opt_5zw_001,opt_5v7_001,requires,opt_5zw_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires 5ZU, 5ZW or 5ZZ. Not available with STI, TVS, Z51. 2. Requires 5ZU, 5ZW or 5ZZ. Not available with 5VM, 5W8, STI, TVS, Z51."", ""rule_id"": ""rule_opt_5v7_001_requires_opt_5zw_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5v7_001"", ""source_section"": ""sec_lpoe_001"", ""source_selection_mode"": ""multi_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_5zw_001"", ""target_section"": ""sec_spoi_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,35,rule_opt_5v7_001_requires_opt_5zz_001,opt_5v7_001,requires,opt_5zz_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires 5ZU, 5ZW or 5ZZ. Not available with STI, TVS, Z51. 2. Requires 5ZU, 5ZW or 5ZZ. Not available with 5VM, 5W8, STI, TVS, Z51."", ""rule_id"": ""rule_opt_5v7_001_requires_opt_5zz_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5v7_001"", ""source_section"": ""sec_lpoe_001"", ""source_selection_mode"": ""multi_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_5zz_001"", ""target_section"": ""sec_spoi_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,55,rule_opt_5zu_001_requires_opt_g8g_001,opt_5zu_001,requires,opt_g8g_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires exterior color (G8G) Arctic White, (GBA) Black or (GKZ) Torch Red. Not available with 5ZW, 5ZZ, TVS. Deletes (T0A) Z51 rear spoiler when ordered with (Z51) Z51 Performance Package."", ""rule_id"": ""rule_opt_5zu_001_requires_opt_g8g_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5zu_001"", ""source_section"": ""sec_spoi_001"", ""source_selection_mode"": ""single_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_g8g_001"", ""target_section"": ""sec_pain_001"", ""target_selection_mode"": ""single_select_req"", ""target_type"": ""main""}"
stingray,rule_mapping,56,rule_opt_5zu_001_requires_opt_gba_001,opt_5zu_001,requires,opt_gba_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires exterior color (G8G) Arctic White, (GBA) Black or (GKZ) Torch Red. Not available with 5ZW, 5ZZ, TVS. Deletes (T0A) Z51 rear spoiler when ordered with (Z51) Z51 Performance Package."", ""rule_id"": ""rule_opt_5zu_001_requires_opt_gba_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5zu_001"", ""source_section"": ""sec_spoi_001"", ""source_selection_mode"": ""single_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_gba_001"", ""target_section"": ""sec_pain_001"", ""target_selection_mode"": ""single_select_req"", ""target_type"": ""main""}"
stingray,rule_mapping,57,rule_opt_5zu_001_requires_opt_gkz_001,opt_5zu_001,requires,opt_gkz_001,omit_grouped_requirement,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_requirement"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Requires exterior color (G8G) Arctic White, (GBA) Black or (GKZ) Torch Red. Not available with 5ZW, 5ZZ, TVS. Deletes (T0A) Z51 rear spoiler when ordered with (Z51) Z51 Performance Package."", ""rule_id"": ""rule_opt_5zu_001_requires_opt_gkz_001"", ""rule_type"": ""requires"", ""runtime_action"": """", ""source_id"": ""opt_5zu_001"", ""source_section"": ""sec_spoi_001"", ""source_selection_mode"": ""single_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_gkz_001"", ""target_section"": ""sec_pain_001"", ""target_selection_mode"": ""single_select_req"", ""target_type"": ""main""}"
stingray,rule_mapping,69,rule_opt_cf8_001_excludes_opt_dpb_001,opt_cf8_001,excludes,opt_dpb_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dpb_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dpb_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,70,rule_opt_cf8_001_excludes_opt_dpc_001,opt_cf8_001,excludes,opt_dpc_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dpc_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dpc_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,71,rule_opt_cf8_001_excludes_opt_dpg_001,opt_cf8_001,excludes,opt_dpg_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dpg_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dpg_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,72,rule_opt_cf8_001_excludes_opt_dpl_001,opt_cf8_001,excludes,opt_dpl_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dpl_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dpl_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
