choice_id,option_id,rpo,label,section_id,step_key,variant_id,body_style,trim_level,status,selectable,base_price
1lt_c07__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,1lt_c07,coupe,1LT,standard,False,0
2lt_c07__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,2lt_c07,coupe,2LT,unavailable,False,0
3lt_c07__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,1lt_c67,convertible,1LT,standard,False,0
2lt_c67__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,2lt_c67,convertible,2LT,unavailable,False,0
3lt_c67__opt_aq9_002,opt_aq9_002,AQ9,GT1 Bucket Seats,sec_1lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,1lt_c07,coupe,1LT,standard,False,0
2lt_c07__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,2lt_c07,coupe,2LT,unavailable,False,0
3lt_c07__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,1lt_c67,convertible,1LT,standard,False,0
2lt_c67__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,2lt_c67,convertible,2LT,unavailable,False,0
3lt_c67__opt_dwk_001,opt_dwk_001,DWK,Heated Power-Adjustable Manual-Folding Outside Mirrors,sec_1lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,1lt_c07,coupe,1LT,standard,False,0
2lt_c07__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,2lt_c07,coupe,2LT,unavailable,False,0
3lt_c07__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,1lt_c67,convertible,1LT,standard,False,0
2lt_c67__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,2lt_c67,convertible,2LT,unavailable,False,0
3lt_c67__opt_k7a_001,opt_k7a_001,K7A,Wireless Phone Charging,sec_1lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,1lt_c07,coupe,1LT,standard,False,0
2lt_c07__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,2lt_c07,coupe,2LT,unavailable,False,0
3lt_c07__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,1lt_c67,convertible,1LT,standard,False,0
2lt_c67__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,2lt_c67,convertible,2LT,unavailable,False,0
3lt_c67__opt_uqs_001,opt_uqs_001,UQS,Bose Premium 10-Speaker Audio System,sec_1lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,1lt_c07,coupe,1LT,standard,False,0
2lt_c07__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,2lt_c07,coupe,2LT,unavailable,False,0
3lt_c07__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,1lt_c67,convertible,1LT,standard,False,0
2lt_c67__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,2lt_c67,convertible,2LT,unavailable,False,0
3lt_c67__opt_uvb_001,opt_uvb_001,UVB,HD Rear Vision Camera,sec_1lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ahe_001,opt_ahe_001,AHE,Driver Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ahh_001,opt_ahh_001,AHH,Passenger Power Bolster Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_al9_001,opt_al9_001,AL9,Driver Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ap9_001,opt_ap9_001,AP9,Front and Rear Trunk Cargo Nets,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,unavailable,False,0
1lt_c67__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_aq9_001,opt_aq9_001,AQ9,GT1 Bucket Seats,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,unavailable,False,0
1lt_c07__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_aqa_001,opt_aqa_001,AQA,Memory Driver and Passenger Convenience Package,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_at9_001,opt_at9_001,AT9,Passenger Power Lumbar Seat Adjuster,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_dyx_001,opt_dyx_001,DYX,Heated Power-Folding Auto-Dimming Outside Mirrors,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_k7b_001,opt_k7b_001,K7B,Dual Wireless Phone Charging Pads,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ki3_001,opt_ki3_001,KI3,Heated Steering Wheel,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_kqv_001,opt_kqv_001,KQV,Heated and Vented Driver and Passenger Seats,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ufg_001,opt_ufg_001,UFG,Rear Cross Traffic Alert,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_uft_001,opt_uft_001,UFT,Side Blind Zone Alert,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_ug1_001,opt_ug1_001,UG1,Universal Home Remote,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
1lt_c07__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,1lt_c07,coupe,1LT,unavailable,False,0
2lt_c07__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,2lt_c07,coupe,2LT,standard,False,0
3lt_c07__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,3lt_c07,coupe,3LT,standard,False,0
1lt_c67__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,1lt_c67,convertible,1LT,unavailable,False,0
2lt_c67__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,2lt_c67,convertible,2LT,standard,False,0
3lt_c67__opt_uqh_001,opt_uqh_001,UQH,Bose Performance Series 14-Speaker Sound System,sec_2lte_001,standard_equipment,3lt_c67,convertible,3LT,standard,False,0
