RPO,Description,Detail,"Grand Sport X Coupe
1YG07
1LT","Grand Sport X Coupe
1YG07
2LT","Grand Sport X Coupe
1YG07
3LT","Grand Sport X Convertible
1YG67
1LT","Grand Sport X Convertible
1YG67
2LT","Grand Sport X Convertible
1YG67
3LT"
,"Active handling stability control, improves traction and enhances vehicle stability",,S,S,S,S,S,S
ERI,Battery Protection Package,,A,A,A,A,A,A
J57,"Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers",,S,S,S,S,S,S
UHY,Automatic Emergency Braking,,S,S,S,S,S,S
UKT,Front Pedestrian and Bicyclist Braking,,S,S,S,S,S,S
,NEW!  Intersection Automatic Emergency Braking,,S,S,S,S,S,S
J6D,"Calipers, Dark Gray Metallic-painted",,S,S,S,S,S,S
J6B,"Calipers, Blue-painted",,A,A,A,A,A,A
J6E,"Calipers, Velocity Yellow-painted",,A,A,A,A,A,A
J6F,"Calipers, Bright Red-painted",,A,A,A,A,A,A
J6L,"Calipers, Orange-painted",,A,A,A,A,A,A
J6N,"Calipers, Edge Red-painted",,A,A,A,A,A,A
LS6,"NEW!  Engine, 6.7L V8 DI, high-output, Variable Valve Timing (VVT), Active Fuel Management (AFM) ",,S,S,S,S,S,S
HP1,"Front axle, electrified propulsion (186 hp [138.7 kW], 145 lb-ft of front torque [196.6 N-m]). 1250 (932.1 kW) total combined hp with LS6 (Grand Sport X) or LT7 (ZR1X)  engine",,S,S,S,S,S,S
B6P,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",,A,A,A,--,--,--
ZZ3,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO",,--,--,--,A,A,A
BC7,"LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",1. Included and only available with (ZZ3) Convertible Engine Appearance Package.,S,S,S,A1,A1,A1
BC4,"NEW!  LS6 engine cover, Blue
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.","1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",A1,A1,A1,A2,A2,A2
BCP,"LS6 engine cover, Edge Red
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.","1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",A1,A1,A1,A2,A2,A2
BCS,"LS6 engine cover, Sterling Silver-painted
1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.","1. Includes (D3V) engine lighting.
2. Requires (ZZ3) Convertible Engine Appearance Package.",A1,A1,A1,A2,A2,A2
D3V,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.,A1,A1,A1,--,--,--
NPP,"Exhaust, performance, aggressive exhaust sound varies with driver mode selected",,S,S,S,S,S,S
WUB,"NEW!  Exhaust, quad center exit",,A,A,A,A,A,A
NGA,"Exhaust tips, Black",,S,S,S,S,S,S
NWI,"NEW!  Exhaust tips, bright, center, quad, exposed
1. Requires (WUB) quad center exit exhaust.",1. Requires (WUB) quad center exit exhaust.,A1,A1,A1,A1,A1,A1
,"Frame, aluminum structure",,S,S,S,S,S,S
SLN,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory
1. Not available at this time.",1. Not available at this time.,A/D1,A/D1,A/D1,--,--,--
VUP,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",,A/D,A/D,A/D,--,--,--
SL9,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",1. Included with (B6P/ZZ3) Engine Appearance Package.,A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
SLK,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory",,A/D,A/D,A/D,--,--,--
,Oil life monitoring system,,S,S,S,S,S,S
B4Z,Performance Traction Management,,S,S,S,S,S,S
G0K,"Rear axle, 5.56 ratio",,S,S,S,S,S,S
,"Steering, power, electric, speed-sensitive, rack-and-pinion, variable ratio",,S,S,S,S,S,S
FE5,"Suspension, touring with Magnetic Selective Ride Control",,S,S,S,S,S,S
FED,"Sport Performance Package, includes (XFR) 275/30ZR20 front and 345/25ZR21 rear, blackwall, high performance tires",,A,A,A,A,A,A
,"Traction control, all-speed",,S,S,S,S,S,S
MLG,"Transmission, 8-speed dual clutch, includes manual and auto modes",,S,S,S,S,S,S
Z25,"Grand Sport Launch Edition, includes (EL9) Santorini Blue Dipped interior with Torch Red accents and special quilting, (3F9) Torch Red seat belts, unique floor mats with Corvette silhouette, embossed headrests, and waterfall plaque with ""Launch Edition""",,--,--,A,--,--,A
Z15,"Grand Sport Heritage Graphics, includes Grand Sport Heritage Hash Marks available in (17A) Blade Silver, (20A) Admiral Blue, (55A) Competition Yellow, (75A) Torch Red, (97A) Carbon Flash, and (DX4) Red Mist
1. Requires the selection of one of the following included Grand Sport Heritage Hash Marks: (17A) Blade Silver, (20A) Admiral Blue, (55A) Competition Yellow, (75A) Torch Red, (97A) Carbon Flash, and (DX4) Red Mist. Only additional stripes or graphics available with Z15 are (DMU/DMV/DMW/DMX/DMY) Grand Sport Heritage Center Stripes.","1. Requires the selection of one of the following included Grand Sport Heritage Hash Marks: (17A) Blade Silver, (20A) Admiral Blue, (55A) Competition Yellow, (75A) Torch Red, (97A) Carbon Flash, and (DX4) Red Mist. Only additional stripes or graphics available with Z15 are (DMU/DMV/DMW/DMX/DMY) Grand Sport Heritage Center Stripes.",A1,A1,A1,A1,A1,A1
,"Antenna, integral front and rear",,S,S,S,S,S,S
EYT,Carbon Flash Exterior Badge Package,,S,S,S,S,S,S
EYK,Chrome Exterior Badge Package,,A,A,A,A,A,A
CM9,"Convertible top, retractable, power-folding hard top, painted body-color roof, remote control (down only), includes power glass rear window with integral defogger",,--,--,--,S,S,S
D84,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",1. Not available with exterior color (GBA) Black.,--,--,--,A1,A1,A1
D86,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",1. Not available with exterior color (GBA) Black.,--,--,--,A1,A1,A1
R8C,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN
1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.",1. Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.,A1,A1,A1,A1,A1,A1
PIN,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.",1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.,A1,A1,A1,A1,A1,A1
,Daytime running lamps,,S,S,S,S,S,S
EFR,"Exterior accents, Carbon Flash, side vents, rockers, splitter and front/rear grille accents
1. Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.
2. Also includes tonneau grille. Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.","1. Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.
2. Also includes tonneau grille. Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.",S1,S1,S1,S2,S2,S2
EDU,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered. Not available with exterior color (GBA) Black.
2. Tonneau grille is Carbon Flash-painted. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered. Not available with exterior color (GBA) Black.","1. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered. Not available with exterior color (GBA) Black.
2. Tonneau grille is Carbon Flash-painted. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered. Not available with exterior color (GBA) Black.",A1,A1,A1,A2,A2,A2
E60,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",,--,A,A,--,A,A
,"Glass, Solar-Ray light-tinted",,S,S,S,S,S,S
CFZ,"Ground effects, carbon fiber, Carbon Flash-painted",,A,A,A,A,A,A
CFV,"Ground effects, visible carbon fiber",,A,A,A,A,A,A
CFL,"NEW!  Ground effects, extended front splitter
1. Not available with (CFV/CFZ) ground effects.",1. Not available with (CFV/CFZ) ground effects.,A1,A1,A1,A1,A1,A1
TR7,"Headlamp control, automatic leveling system
1. Included and only available with (E60) front lift adjustable height.",1. Included and only available with (E60) front lift adjustable height.,--,A1,A1,--,A1,A1
T4L,"Headlamps, LED",,S,S,S,S,S,S
TQ5,"IntelliBeam, auto high beam",,S,S,S,S,S,S
VK3,"License plate bracket, front
1. Will be forced on orders with ship-to states that require a front license plate.",1. Will be forced on orders with ship-to states that require a front license plate.,A1,A1,A1,A1,A1,A1
PDA,"LPO, Jake C8.R Graphics Package, includes (SNE) Jake hood graphic, LPO and (VPW) Jake C8.R rear hash graphic, LPO, Genuine Corvette Accessories
1. Not available with (Z15) Grand Sport Heritage Graphics or with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).","1. Not available with (Z15) Grand Sport Heritage Graphics or with RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTC, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
PCQ,"LPO, Grille Screen Protection Package, includes (VWE) front radiator grille screens LPO and (VWT) insect protection grille screen LPO, Genuine Corvette Accessories",,A/D,A/D,A/D,A/D,A/D,A/D
RWH,"LPO, Premium indoor car cover, Black with crossed flags logo, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
WKR,"LPO, Premium indoor car cover, GT3.R, fully rendered, Genuine Corvette Accessory
1. When ordered with (5ZV) Three-Stanchion high wing spoiler LPO, High Wing version is provided.","1. When ordered with (5ZV) Three-Stanchion high wing spoiler LPO, High Wing version is provided.",A/D1,A/D1,A/D1,A/D1,A/D1,A/D1
RWJ,"LPO, Premium outdoor car cover, Gray with crossed flags logo and Corvette silhouette, Genuine Corvette Accessory",,A/D,A/D,A/D,A/D,A/D,A/D
