exclusion_rule_id,source_selector_type,source_selector_id,source_must_be_selected,target_selector_type,target_selector_id,scope_condition_set_id,directionality,violation_behavior,message,priority,active,normalized_pair_key,legacy_rule_id,compiler_support_required,dry_run_notes
excl_5dg_r8c,selectable,opt_5dg_001,true,selectable,opt_r8c_001,,directional,disable_and_block,Conflicts with R8C.,100,true,opt_5dg_001<->opt_r8c_001,rule_opt_5dg_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5dg_s47,selectable,opt_5dg_001,true,selectable,opt_s47_001,,directional,disable_and_block,Conflicts with S47.,101,true,opt_5dg_001<->opt_s47_001,rule_opt_5dg_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5dg_sfe,selectable,opt_5dg_001,true,selectable,opt_sfe_001,,directional,disable_and_block,Conflicts with SFE.,102,true,opt_5dg_001<->opt_sfe_001,rule_opt_5dg_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5dg_spy,selectable,opt_5dg_001,true,selectable,opt_spy_001,,directional,disable_and_block,Conflicts with SPY.,103,true,opt_5dg_001<->opt_spy_001,rule_opt_5dg_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5dg_spz,selectable,opt_5dg_001,true,selectable,opt_spz_001,,directional,disable_and_block,Conflicts with SPZ.,104,true,opt_5dg_001<->opt_spz_001,rule_opt_5dg_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5do_r8c,selectable,opt_5do_001,true,selectable,opt_r8c_001,,directional,disable_and_block,Conflicts with R8C.,105,true,opt_5do_001<->opt_r8c_001,rule_opt_5do_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5do_s47,selectable,opt_5do_001,true,selectable,opt_s47_001,,directional,disable_and_block,Conflicts with S47.,106,true,opt_5do_001<->opt_s47_001,rule_opt_5do_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5do_sfe,selectable,opt_5do_001,true,selectable,opt_sfe_001,,directional,disable_and_block,Conflicts with SFE.,107,true,opt_5do_001<->opt_sfe_001,rule_opt_5do_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5do_spy,selectable,opt_5do_001,true,selectable,opt_spy_001,,directional,disable_and_block,Conflicts with SPY.,108,true,opt_5do_001<->opt_spy_001,rule_opt_5do_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5do_spz,selectable,opt_5do_001,true,selectable,opt_spz_001,,directional,disable_and_block,Conflicts with SPZ.,109,true,opt_5do_001<->opt_spz_001,rule_opt_5do_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5v7_5vm,selectable,opt_5v7_001,true,selectable,opt_5vm_001,,directional_preserved,disable_and_block,Conflicts with opt_5vm_001.,110,true,opt_5v7_001<->opt_5vm_001,rule_opt_5v7_001_excludes_opt_5vm_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5v7_5w8,selectable,opt_5v7_001,true,selectable,opt_5w8_001,,directional_preserved,disable_and_block,Conflicts with opt_5w8_001.,111,true,opt_5v7_001<->opt_5w8_001,rule_opt_5v7_001_excludes_opt_5w8_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5v7_sti,selectable,opt_5v7_001,true,selectable,opt_sti_001,,directional_preserved,disable_and_block,Conflicts with STI.,112,true,opt_5v7_001<->opt_sti_001,rule_opt_5v7_001_excludes_opt_sti_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
excl_5v7_tvs,selectable,opt_5v7_001,true,selectable,opt_tvs_001,,directional,disable_and_block,Conflicts with TVS.,113,true,opt_5v7_001<->opt_tvs_001,rule_opt_5v7_001_excludes_opt_tvs_001,dependency_rules_excludes_emit_legacy_rule,Dedicated-table comparison draft only. Not preferred unless dependency_rules.csv becomes semantically muddy in later implementation.
