missing_selectable_id,rpo,label,category_name,section_name,exists_in_production,production_choice_count,production_active_choice_count,blocker_type,missing_as_source_count,missing_as_target_count,total_blocked_relationships,suggested_catalog_slice,notes
opt_pcx_001,PCX,"LPO, Tech Bronze Accent Package",Mechanical,LPO Exterior,true,6,6,missing_selectable,24,0,24,LPO Exterior packages,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_pdv_001,PDV,"LPO, Stingray R Appearance Package",Mechanical,LPO Exterior,true,6,6,missing_selectable,16,2,18,LPO Exterior packages,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_5dg_001,5DG,"LPO, 20-spoke Tech Bronze aluminum wheels",Mechanical,LPO Wheels,true,6,6,missing_selectable,5,0,5,LPO Wheels,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_5do_001,5DO,"LPO, 15-spoke bright polished aluminum wheels",Mechanical,LPO Wheels,true,6,6,missing_selectable,5,0,5,LPO Wheels,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dpb_001,DPB,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dpc_001,DPC,Carbon Flash with Yellow accent Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dpg_001,DPG,Carbon Flash with Orange accent Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dpl_001,DPL,Carbon Flash with Red accent Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dpt_001,DPT,Carbon Flash with Silver accent Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dsy_001,DSY,Edge Orange Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
opt_dsz_001,DSZ,Edge Red Full Length Dual Racing Stripes,Exterior,Stripes,true,6,6,missing_selectable,0,4,4,Stripes,Production has 6 active choice row(s) and 6 total choice row(s). Production surface is selectable.
