artifact_schema_version,source_workbook_sha256,model_key,group_type,group_id,current_fallback_label,source_sheet_row,active,customer_visible,audience,resolved_step_section,selection_behavior,member_count,members_ordered,notes,proposed_display_label,review_status,reviewer_note
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_ls6_engine_covers,Gs Excl Ls6 Engine Covers,grandSport_exclusive_groups!2,TRUE,TRUE,customer,sec_engi_001,single_within_group,4,BC7 Black LS6 Engine Cover; BCP Edge Red LS6 Engine Cover; BCS Sterling Silver LS6 Engine Cover; BC4 Blue LS6 Engine Cover,Grand Sport LS6 engine covers are mutually exclusive radio peers; Engine Appearance is not an open required section because selected packages provide covers through workbook rules.,LS6 Engine Covers,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_center_caps,Gs Excl Center Caps,grandSport_exclusive_groups!3,TRUE,TRUE,customer,sec_whee_001,single_within_group,3,5ZB Grand Sport Logo Wheel Center Caps; 5ZC Jake Logo Wheel Center Caps; 5ZD Carbon Flash Crossed Flags Wheel Center Caps,Grand Sport wheel center cap choices are mutually exclusive within the Wheel Accessory section.,Wheel Center Caps,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_indoor_car_covers,Gs Excl Indoor Car Covers,grandSport_exclusive_groups!4,TRUE,TRUE,customer,sec_lpoe_001,single_within_group,2,RWH Black Premium Indoor Car Cover; WKR GT3.R Premium Indoor Car Cover,Grand Sport indoor car cover choices are mutually exclusive within the LPO Exterior section.,Indoor Car Covers,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_rear_script_badges,Gs Excl Rear Script Badges,grandSport_exclusive_groups!5,TRUE,TRUE,customer,sec_lpoe_001,single_within_group,3,RIK Torch Red Rear Corvette Script Badge; RIN Arctic White Rear Corvette Script Badge; SL8 Edge Red Rear Corvette Script Badge,Rear Corvette script badge color choices are mutually exclusive within the LPO Exterior section.,Rear Corvette Script Badge Color,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_suede_compartment_liners,Gs Excl Suede Compartment Liners,grandSport_exclusive_groups!6,TRUE,TRUE,customer,sec_lpoi_001,single_within_group,3,SXB Black Suede Frunk and Trunk Liner; SXR Adrenaline Red Suede Frunk and Trunk Liner; SXT Natural Suede Frunk and Trunk Liner,Grand Sport suede frunk/trunk compartment liner choices are mutually exclusive within the LPO Interior section.,Suede Frunk and Trunk Liners,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_ground_effects,Gs Excl Ground Effects,grandSport_exclusive_groups!7,TRUE,TRUE,customer,sec_perf_ground_001,single_within_group,3,"CFL Extended Front Splitter, Carbon Flash; CFZ Carbon Flash Carbon Fiber Ground Effects; CFV Visible Carbon Fiber Ground Effects",Grand Sport ground effects choices are mutually exclusive; inactive members stay in the source for reactivation without appearing in draft output.,Ground Effects,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_z52_packages,Gs Excl Z52 Packages,grandSport_exclusive_groups!8,TRUE,TRUE,customer,sec_perf_z52_001,single_within_group,2,FEB Z52 Sport Performance Package; FEY Z52 Track Performance Package,Grand Sport Z52 Sport and Track Performance packages are mutually exclusive.,Z52 Performance Package,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_exterior_accents,Gs Excl Exterior Accents,grandSport_exclusive_groups!9,TRUE,TRUE,customer,sec_exte_001,required_single_within_group,2,EFR Carbon Flash Painted Accents; EDU Body-Color and Carbon Flash Accents,Grand Sport exterior accent choices require either EFR or EDU; selected default cannot be cleared without choosing the alternate accent package.,Exterior Accents,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_performance_brakes,Gs Excl Performance Brakes,grandSport_exclusive_groups!10,TRUE,TRUE,customer,sec_perf_brake_001,required_single_within_group,3,JX6 Low-Dust Touring Brakes; J56 Performance Disc Brakes; J57 Carbon Ceramic Brakes,Grand Sport brake choices require one active brake selection; selected default cannot be cleared without choosing another brake package.,Performance Brakes,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_exhaust_path,Gs Excl Exhaust Path,grandSport_exclusive_groups!11,TRUE,TRUE,customer,sec_exha_001,required_single_within_group,2,NGA Black Exhaust Tips; NWI Bright Chrome Exhaust Tips,NGA and NWI are mutually exclusive required exhaust-tip choices. NWI separately requires WUB; WUB is not an exhaust-tip peer.,Exhaust Tips,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_seat_belts,Gs Excl Seat Belts,grandSport_exclusive_groups!12,TRUE,TRUE,customer,sec_seat_001,single_within_group,6,719 Black Seat Belt Color; 3N9 Natural Seat Belt Color; 379 Orange Seat Belt Color; 3A9 Santorini Blue Seat Belt Color; 3F9 Torch Red Seat Belt Color; 3M9 Yellow Seat Belt Color,Grand Sport seatbelt colors are mutually exclusive; included 3LT interior seatbelts lock peers.,Seat Belt Color,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,exclusive,gs_excl_performance_aero,Gs Excl Performance Aero,grandSport_exclusive_groups!13,TRUE,TRUE,customer,sec_perf_aero_001,required_single_within_group,3,T0E Low Rear Spoiler; T0F Carbon Flash-Painted Carbon Fiber Aero Package; 5ZV Carbon Flash Metallic Three-Stanchion High Wing Spoiler,"Grand Sport aero choices require one active aero selection; T0E, T0F, and 5ZV are alternate aero choices, while FEY-included T0F replaces the T0E default through generic group metadata.",Performance Aero,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_z15_excludes_non_center_stripes,Z15 Grand Sport Heritage Graphics: excludes_any,grandSport_rule_groups!2,TRUE,FALSE,manager,sec_hash_001; sec_jake_001; sec_stri_001,excludes_any,21,source Z15 Grand Sport Heritage Graphics; targets DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes; DZU Carbon Flash/Competition Yellow Stinger Stripe; DZV Carbon Flash/Midnight Silver Stinger Stripe; DZX Carbon Flash/Edge Red Stinger Stripe; SHT Tech Bronze Jake Hood Graphic; VPO Tech Bronze Jake C8.R Rear Hash Graphic; PDA Jake C8.R Graphics Package; SNE Jake Hood Graphic; VPW Jake C8.R Rear Hash Graphic,Replaces repeated hash-mark conflict rows after grouped exclusions are wired in runtime.,Z15 Grand Sport Heritage Graphics — Stripe and Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_t0f_z52_requirement,T0F Carbon Flash-Painted Carbon Fiber Aero Package: requires_any,grandSport_rule_groups!3,TRUE,FALSE,manager,sec_perf_z52_001,requires_any,2,source T0F Carbon Flash-Painted Carbon Fiber Aero Package; targets FEB Z52 Sport Performance Package; FEY Z52 Track Performance Package,"T0F is available with FEB plus required J57, or included by FEY.",T0F Carbon Flash-Painted Carbon Fiber Aero Package — Z52 Requirements,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_r88_excludes_badge_and_stripe_choices,R88 Front Illuminated Crossed Flags Emblem: excludes_any,grandSport_rule_groups!4,TRUE,FALSE,manager,sec_badg_001; sec_gsce_001; sec_lpoe_001; sec_stri_001,excludes_any,20,source R88 Front Illuminated Crossed Flags Emblem; targets EYK Chrome Exterior Badge Package; DMU Carbon Flash Center Stripe; DMV Blade Silver Center Stripe; DMW Arctic White Center Stripe; DMX Admiral Blue Center Stripe; DMY Red Mist Center Stripe; SFZ Dark Stealth Crossed Flags Emblems; DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes,Workbook-owned grouped exclusion metadata.,R88 Front Illuminated Crossed Flags Emblem — Badge and Stripe Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_sfz_excludes_badge_and_stripe_choices,SFZ Dark Stealth Crossed Flags Emblems: excludes_any,grandSport_rule_groups!5,TRUE,FALSE,manager,sec_badg_001; sec_gsce_001; sec_stri_001,excludes_any,19,source SFZ Dark Stealth Crossed Flags Emblems; targets EYK Chrome Exterior Badge Package; DMU Carbon Flash Center Stripe; DMV Blade Silver Center Stripe; DMW Arctic White Center Stripe; DMX Admiral Blue Center Stripe; DMY Red Mist Center Stripe; DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes,Workbook-owned grouped exclusion metadata.,SFZ Dark Stealth Crossed Flags Emblems — Badge and Stripe Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_cf8_excludes_stripe_choices,CF8 Electrochromic Dimming Roof Panel: excludes_any,grandSport_rule_groups!6,TRUE,FALSE,manager,sec_gsce_001; sec_stri_001,excludes_any,18,source CF8 Electrochromic Dimming Roof Panel; targets DMU Carbon Flash Center Stripe; DMV Blade Silver Center Stripe; DMW Arctic White Center Stripe; DMX Admiral Blue Center Stripe; DMY Red Mist Center Stripe; DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes,Workbook-owned grouped exclusion metadata.,CF8 Electrochromic Dimming Roof Panel — Stripe Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_sht_excludes_full_length_stripes,SHT Tech Bronze Jake Hood Graphic: excludes_any,grandSport_rule_groups!7,TRUE,FALSE,manager,sec_hash_001; sec_jake_001; sec_stri_001,excludes_any,20,source SHT Tech Bronze Jake Hood Graphic; targets DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes; DZU Carbon Flash/Competition Yellow Stinger Stripe; DZV Carbon Flash/Midnight Silver Stinger Stripe; DZX Carbon Flash/Edge Red Stinger Stripe; Z15 Grand Sport Heritage Graphics; PDA Jake C8.R Graphics Package; SNE Jake Hood Graphic; VPW Jake C8.R Rear Hash Graphic,"Stripe cleanup: Tech Bronze Jake hood graphic conflicts with dual racing stripes, PDA/SNE, and VPW.",SHT Tech Bronze Jake Hood Graphic — Stripe and Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_pda_excludes_stripes_and_z15,PDA Jake C8.R Graphics Package: excludes_any,grandSport_rule_groups!8,TRUE,FALSE,manager,sec_stri_001,excludes_any,17,source PDA Jake C8.R Graphics Package; targets DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes; DZU Carbon Flash/Competition Yellow Stinger Stripe; DZV Carbon Flash/Midnight Silver Stinger Stripe; DZX Carbon Flash/Edge Red Stinger Stripe; Z15 Grand Sport Heritage Graphics,5/25 distribution update grouped blocker for Jake C8.R Graphics Package.,PDA Jake C8.R Graphics Package — Stripe and Z15 Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_sne_excludes_stripes_and_z15,SNE Jake Hood Graphic: excludes_any,grandSport_rule_groups!9,TRUE,FALSE,manager,sec_hash_001; sec_jake_001; sec_stri_001,excludes_any,19,source SNE Jake Hood Graphic; targets DPB Carbon Flash/Blue Racing Stripes; DPC Carbon Flash/Yellow Racing Stripes; DPG Carbon Flash/Orange Racing Stripes; DPL Carbon Flash/Red Racing Stripes; DPT Carbon Flash/Silver Racing Stripes; DSY Edge Orange Racing Stripes; DSZ Edge Red Racing Stripes; DT0 Competition Yellow Racing Stripes; DTH Carbon Flash Metallic Racing Stripes; DUB Sterling Silver Racing Stripes; DUE Santorini Blue/Carbon Flash Racing Stripes; DUK Edge Red/Carbon Flash Racing Stripes; DUW Edge Blue Racing Stripes; DZU Carbon Flash/Competition Yellow Stinger Stripe; DZV Carbon Flash/Midnight Silver Stinger Stripe; DZX Carbon Flash/Edge Red Stinger Stripe; Z15 Grand Sport Heritage Graphics; SHT Tech Bronze Jake Hood Graphic; VPO Tech Bronze Jake C8.R Rear Hash Graphic,"Stripe cleanup: Jake hood graphic conflicts with dual racing stripes, SHT, and VPO.",SNE Jake Hood Graphic — Stripe and Z15 Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_vpo_excludes_jake_and_z15,VPO Tech Bronze Jake C8.R Rear Hash Graphic: excludes_any,grandSport_rule_groups!10,TRUE,FALSE,manager,sec_hash_001; sec_jake_001; sec_stri_001,excludes_any,4,source VPO Tech Bronze Jake C8.R Rear Hash Graphic; targets Z15 Grand Sport Heritage Graphics; PDA Jake C8.R Graphics Package; SNE Jake Hood Graphic; VPW Jake C8.R Rear Hash Graphic,Stripe cleanup: VPO conflicts with SNE and VPW; retained PDA/Z15 blockers from source copy.,VPO Tech Bronze Jake C8.R Rear Hash Graphic — Jake Graphic and Z15 Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_vpw_excludes_jake_rear_hash_peers,VPW Jake C8.R Rear Hash Graphic: excludes_any,grandSport_rule_groups!11,TRUE,FALSE,manager,sec_hash_001; sec_jake_001,excludes_any,2,source VPW Jake C8.R Rear Hash Graphic; targets SHT Tech Bronze Jake Hood Graphic; VPO Tech Bronze Jake C8.R Rear Hash Graphic,Stripe cleanup: VPW conflicts with SHT and VPO.,VPW Jake C8.R Rear Hash Graphic — Jake Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dpb_excludes_jake_hood_graphics,DPB Carbon Flash/Blue Racing Stripes: excludes_any,grandSport_rule_groups!12,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DPB Carbon Flash/Blue Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DPB Carbon Flash/Blue Racing Stripes — Jake Hood Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dpc_excludes_jake_hood_graphics,DPC Carbon Flash/Yellow Racing Stripes: excludes_any,grandSport_rule_groups!13,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DPC Carbon Flash/Yellow Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DPC Carbon Flash/Yellow Racing Stripes — Jake Hood Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dpg_excludes_jake_hood_graphics,DPG Carbon Flash/Orange Racing Stripes: excludes_any,grandSport_rule_groups!14,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DPG Carbon Flash/Orange Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DPG Carbon Flash/Orange Racing Stripes — Jake Hood Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dpl_excludes_jake_hood_graphics,DPL Carbon Flash/Red Racing Stripes: excludes_any,grandSport_rule_groups!15,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DPL Carbon Flash/Red Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DPL Carbon Flash/Red Racing Stripes — Jake Hood Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dpt_excludes_jake_hood_graphics,DPT Carbon Flash/Silver Racing Stripes: excludes_any,grandSport_rule_groups!16,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DPT Carbon Flash/Silver Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DPT Carbon Flash/Silver Racing Stripes — Jake Hood Graphic Exclusions,approved,
1,b2df4eddc96b7f6e5cb2b55f57818d50bf285cb8c1b4641495595cb0b43f8a91,grand_sport,rule,gs_group_dsy_excludes_jake_hood_graphics,DSY Edge Orange Racing Stripes: excludes_any,grandSport_rule_groups!17,TRUE,FALSE,manager,sec_jake_001,excludes_any,2,source DSY Edge Orange Racing Stripes; targets SHT Tech Bronze Jake Hood Graphic; SNE Jake Hood Graphic,Stripe cleanup: selected dual racing stripes conflict with SHT and SNE hood graphics.,DSY Edge Orange Racing Stripes — Jake Hood Graphic Exclusions,approved,
